# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00384924, 0.00678781, 0.0110049, 0.00817477, 0.0190632, 0.0105838, 0.0214346, 0.0225153, 0.00802542, 0.0160945, 0.0125997, 0.0108487, 0.00836689, 0.00640115, 0.00938209, 0.00698138, 0.00624811, 0.00637663, 0.00817914, 0.0159892, 0.0198358, 0.0133993, 0.0253458, 0.0153778, 0.0152467, 0.0135976, 0.0274237, 0.0260223, 0.0315536, 0.020483, 0.0159113, 0.0122422, 0.0142322, 0.0129615, 0.0128154, 0.00939921, 0.00930721, 0.013839, 0.0173728, 0.0138383
0.01, 0.0319375, 0.00973289, 0.0112782, 0.0226578, 0.0136782, 0.024752, 0.0106309, 0.0337734, 0.0410116, 0.0224953, 0.0115901, 0.0205748, 0.0374161, 0.0385803, 0.0373639, 0.033283, 0.0348328, 0.019826, 0.0205174, 0.0192998, 0.0262382, 0.0180533, 0.0241294, 0.0405498, 0.048655, 0.0323884, 0.0226839, 0.042917, 0.035236, 0.0441678, 0.0332127, 0.0279821, 0.0193575, 0.0273324, 0.0297032, 0.0197418, 0.0118652, 0.0130916, 0.0232182, 0.0324616, 0.0461056
0.02, 0.0319375, 0.0132807, 0.0155509, 0.0190001, 0.0162107, 0.0229485, 0.0130143, 0.0404283, 0.0396626, 0.0235878, 0.0116937, 0.0182095, 0.0367464, 0.0382514, 0.0371222, 0.0322388, 0.0341565, 0.0167388, 0.0186911, 0.0212581, 0.0261563, 0.0166802, 0.0230382, 0.0341114, 0.0449123, 0.0283321, 0.0209554, 0.0360175, 0.0311402, 0.0282424, 0.0263803, 0.023418, 0.0158676, 0.0271672, 0.029302, 0.0180212, 0.0117261, 0.0132851, 0.020594, 0.0317859, 0.0427717
0.03, 0.0319375, 0.011577, 0.0171272, 0.0168784, 0.0190297, 0.00650005, 0.0131679, 0.0203478, 0.0152507, 0.0187843, 0.0166685, 0.00464147, 0.00588387, 0.00648821, 0.00762126, 0.00798486, 0.00977055, 0.00619965, 0.0065839, 0.01252, 0.0149534, 0.0117292, 0.0124796, 0.0198638, 0.0161612, 0.012638, 0.010708, 0.030883, 0.0266517, 0.0220197, 0.0294334, 0.0148209, 0.0082787, 0.011191, 0.0116501, 0.00705407, 0.00840164, 0.00757713, 0.0078893, 0.0170759, 0.0125232
0.04, 0.0319375, 0.0124029, 0.0209331, 0.0280646, 0.0274197, 0.00896973, 0.0154995, 0.0161522, 0.0115275, 0.0093587, 0.00858167, 0.00702163, 0.00488113, 0.00474007, 0.00822431, 0.00809271, 0.0135758, 0.0078045, 0.00808963, 0.00886977, 0.0167401, 0.0148407, 0.0169573, 0.012794, 0.0108152, 0.0137565, 0.0166185, 0.033476, 0.0399506, 0.0389893, 0.036181, 0.0304815, 0.0329742, 0.0461716, 0.0188146, 0.0113808, 0.0241676, 0.0186182, 0.0114891, 0.0151504, 0.0208991
0.05, 0.0319375, 0.0266432, 0.0351654, 0.0706572, 0.0671562, 0.0172518, 0.0352157, 0.0628941, 0.0223764, 0.0169252, 0.0166258, 0.0149115, 0.0126338, 0.0145906, 0.0274308, 0.0218238, 0.0173354, 0.0210443, 0.0359265, 0.0256086, 0.0371339, 0.0200349, 0.0423655, 0.0335496, 0.0562718, 0.059207, 0.0663007, 0.0727787, 0.118237, 0.126402, 0.0831578, 0.143969, 0.107889, 0.120048, 0.07076, 0.0336448, 0.0596575, 0.0520334, 0.03173, 0.0403489, 0.0529579
0.06, 0.0319375, 0.0426351, 0.0342027, 0.0535564, 0.0549323, 0.0319935, 0.0501136, 0.0575958, 0.0316605, 0.0155836, 0.0324809, 0.0274631, 0.0153552, 0.0181194, 0.0300416, 0.0307685, 0.0102334, 0.0134816, 0.0269569, 0.0286696, 0.0357305, 0.0247671, 0.0375938, 0.0425379, 0.086735, 0.105818, 0.119008, 0.128879, 0.184029, 0.149697, 0.0953023, 0.198463, 0.159763, 0.0965368, 0.0629727, 0.0399352, 0.0580265, 0.0688768, 0.0476262, 0.0516708, 0.0670416
0.07, 0.0319375, 0.0350082, 0.035899, 0.0622384, 0.0411192, 0.0273245, 0.0302151, 0.0270654, 0.0413166, 0.0357256, 0.0211988, 0.0236728, 0.036719, 0.031695, 0.0392851, 0.0298513, 0.0174729, 0.0315623, 0.0382604, 0.0320777, 0.0381826, 0.0401113, 0.0347592, 0.0611536, 0.0796728, 0.101688, 0.154414, 0.124572, 0.114306, 0.0851701, 0.0937617, 0.157439, 0.134973, 0.131834, 0.0857524, 0.0452801, 0.0549551, 0.0572833, 0.0723422, 0.05368, 0.0702751
0.08, 0.0319375, 0.0229001, 0.0329351, 0.0544118, 0.130053, 0.081252, 0.024197, 0.0279027, 0.0321251, 0.0503767, 0.0300518, 0.0254594, 0.0321101, 0.0357126, 0.0333824, 0.0195893, 0.0152247, 0.0204651, 0.0436175, 0.0348434, 0.0389976, 0.0367149, 0.0499482, 0.0686293, 0.0701443, 0.0607997, 0.128507, 0.171091, 0.140299, 0.0928849, 0.119861, 0.15859, 0.16627, 0.153353, 0.156364, 0.0656512, 0.0664218, 0.0551797, 0.0768644, 0.0527087, 0.0679883
0.09, 0.0319375, 0.104197, 0.0816025, 0.0742161, 0.0983372, 0.0715988, 0.0322373, 0.0185512, 0.0562289, 0.053023, 0.0631394, 0.0606352, 0.0990318, 0.105145, 0.119478, 0.0549515, 0.0161267, 0.0244947, 0.0217717, 0.0170223, 0.0235332, 0.0309922, 0.0614583, 0.0595408, 0.0762265, 0.0677298, 0.109357, 0.164533, 0.0990794, 0.0771819, 0.106167, 0.144623, 0.230405, 0.19764, 0.179265, 0.117188, 0.095536, 0.0406207, 0.0689856, 0.0738585, 0.0858704
