# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.013293, 0.00482976, 0.00374913, 0.00615487, 0.00543652, 0.0020414, 0.00380993, 0.00348841, 0.00263094, 0.00274258, 0.00446952, 0.00197585, 0.00305115, 0.00205675, 0.00380886, 0.00355374, 0.00197549, 0.00199393, 0.00108922, 0.00165171, 0.0022598, 0.00258695, 0.00388617, 0.00402165, 0.00351538, 0.00414406, 0.00421683, 0.00313256, 0.00266923, 0.00349209, 0.00293753, 0.00348948, 0.00314302, 0.00418786, 0.00465737, 0.00453954, 0.00345598, 0.00300801, 0.0034928, 0.0036306
0.01, 0.0319375, 0.0104779, 0.00566401, 0.00246067, 0.00375542, 0.0048351, 0.00192778, 0.00950029, 0.00650088, 0.00178619, 0.0015459, 0.00220889, 0.00251073, 0.00447035, 0.00256804, 0.00263273, 0.00233996, 0.00349744, 0.00289985, 0.00239181, 0.00308348, 0.00329903, 0.00425078, 0.00431559, 0.00297021, 0.00321087, 0.00433173, 0.00481541, 0.00354994, 0.00520529, 0.00444163, 0.00321015, 0.00269502, 0.00346786, 0.00381088, 0.00421493, 0.00462035, 0.00438205, 0.00369117, 0.00457301, 0.00403899
0.02, 0.0319375, 0.00471041, 0.00318817, 0.00217273, 0.00191933, 0.00210885, 0.0020759, 0.00894834, 0.00680321, 0.00191731, 0.00109529, 0.00178381, 0.00265995, 0.00326541, 0.00309441, 0.00263059, 0.00451901, 0.00373179, 0.00292956, 0.00363404, 0.00367526, 0.00334953, 0.00530372, 0.00426099, 0.00309584, 0.00518584, 0.00492491, 0.00451106, 0.00344826, 0.00483546, 0.00500889, 0.00375198, 0.00313339, 0.00273568, 0.003326, 0.00390683, 0.00393035, 0.00458274, 0.00344279, 0.00441458, 0.00404766
0.03, 0.0319375, 0.0132732, 0.00551868, 0.00313386, 0.00193123, 0.00147698, 0.00201761, 0.00422917, 0.00653843, 0.00636029, 0.00268611, 0.00221127, 0.00221864, 0.0034776, 0.00268266, 0.00223768, 0.00302512, 0.00331769, 0.00181034, 0.00353521, 0.00211611, 0.00215072, 0.00330165, 0.00385268, 0.00394661, 0.00376089, 0.00329725, 0.00445979, 0.00375234, 0.00404101, 0.00408743, 0.00408719, 0.00365103, 0.00214073, 0.0028586, 0.00415011, 0.0040397, 0.00513912, 0.00341309, 0.00349043, 0.00430348
0.04, 0.0319375, 0.0177772, 0.0147045, 0.0107258, 0.011385, 0.00817004, 0.00753596, 0.00690088, 0.00965013, 0.00763049, 0.00398532, 0.00692042, 0.008081, 0.00875775, 0.00680652, 0.00708614, 0.00572387, 0.00549509, 0.00596659, 0.00605357, 0.00595142, 0.00554025, 0.00661967, 0.00755844, 0.00674128, 0.00488232, 0.00780592, 0.00699571, 0.00467956, 0.00614302, 0.00669096, 0.0060935, 0.00488066, 0.00528463, 0.00816708, 0.00894586, 0.00792183, 0.00876579, 0.00727824, 0.00811896, 0.0112473
0.05, 0.0319375, 0.028529, 0.0244039, 0.0190025, 0.018225, 0.0162681, 0.0119325, 0.0121481, 0.0144153, 0.00915106, 0.00930638, 0.012198, 0.0143749, 0.0159782, 0.0123622, 0.0122386, 0.0111924, 0.009077, 0.010755, 0.00969204, 0.0112012, 0.0104322, 0.0117735, 0.0133955, 0.0173174, 0.0125974, 0.0159683, 0.0151963, 0.0129908, 0.00974552, 0.0123457, 0.0107344, 0.00785607, 0.00899194, 0.0126149, 0.0152999, 0.0145375, 0.0143994, 0.0112858, 0.0140024, 0.0201848
0.06, 0.0319375, 0.00902159, 0.00698683, 0.00460243, 0.00464349, 0.00510828, 0.00256733, 0.00298673, 0.00391004, 0.0043868, 0.0047466, 0.00373844, 0.00592452, 0.00517375, 0.00408957, 0.00479524, 0.00413598, 0.00463032, 0.00438229, 0.00583777, 0.00690408, 0.00506843, 0.00541043, 0.00714521, 0.0169144, 0.0139027, 0.0121526, 0.0154162, 0.0161004, 0.0101309, 0.010131, 0.00719906, 0.00456434, 0.00495729, 0.00808301, 0.0099024, 0.0108842, 0.0102006, 0.00673276, 0.00597951, 0.00713894
0.07, 0.0319375, 0.00837907, 0.00604101, 0.00135318, 0.00314599, 0.00458641, 0.00291922, 0.00299387, 0.00310392, 0.00282817, 0.00206757, 0.00273949, 0.006148, 0.00594289, 0.00204473, 0.00414465, 0.00412055, 0.00376932, 0.00355268, 0.006465, 0.00506108, 0.00444069, 0.00637817, 0.00776771, 0.0141892, 0.0106851, 0.00801774, 0.0133432, 0.010061, 0.00719267, 0.00783809, 0.00596588, 0.0052832, 0.00480687, 0.011651, 0.0116608, 0.0103971, 0.00693202, 0.00564801, 0.00374806, 0.00494424
0.08, 0.0319375, 0.00952001, 0.00561055, 0.00214858, 0.00383499, 0.00327717, 0.00171717, 0.00220473, 0.00368179, 0.00259278, 0.00168848, 0.00182831, 0.00505432, 0.00423855, 0.00280273, 0.00353509, 0.00399387, 0.00421991, 0.00438573, 0.00457609, 0.00520636, 0.00498042, 0.00485444, 0.00646476, 0.0150761, 0.00827704, 0.00967197, 0.014392, 0.00872183, 0.0100309, 0.00606127, 0.00556799, 0.00389163, 0.00534937, 0.0119418, 0.0112494, 0.00768562, 0.00579475, 0.00643645, 0.00492336, 0.00453835
0.09, 0.0319375, 0.0104989, 0.00503854, 0.00279156, 0.00259052, 0.00226123, 0.00355327, 0.00232188, 0.0025495, 0.00330818, 0.00234793, 0.00160149, 0.00454607, 0.00381207, 0.00331092, 0.00272356, 0.00217749, 0.00445398, 0.00491375, 0.00601292, 0.00572245, 0.00553243, 0.00449658, 0.00417718, 0.00750307, 0.00867834, 0.00737173, 0.0107162, 0.00687863, 0.00757122, 0.00778888, 0.00537095, 0.00439784, 0.0056518, 0.00881979, 0.00880833, 0.00625616, 0.00782922, 0.00422383, 0.00544766, 0.00611174
