# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00194016, 0.00440828, 0.00649117, 0.00277884, 0.00204616, 0.00231249, 0.00249872, 0.00244128, 0.00292897, 0.0021424, 0.00257803, 0.00296463, 0.00248409, 0.00423285, 0.00473177, 0.0022893, 0.00362965, 0.00380257, 0.00384805, 0.00474921, 0.00587143, 0.00474434, 0.00402557, 0.00568974, 0.0061365, 0.00515015, 0.00589442, 0.00702945, 0.00744071, 0.00604101, 0.0072522, 0.00599242, 0.00654849, 0.00952261, 0.0202713, 0.0203758, 0.0157409, 0.0226474, 0.0189203, 0.0242026
0.01, 0.0319375, 0.0036047, 0.00199691, 0.00217975, 0.00105337, 0.00107838, 0.00080422, 0.001204, 0.00321277, 0.00176798, 0.000886881, 0.00203545, 0.0021211, 0.00117114, 0.00265258, 0.00350409, 0.00267826, 0.00367217, 0.0030685, 0.00308942, 0.00457182, 0.00336307, 0.00323962, 0.00500936, 0.00453123, 0.00464907, 0.00412791, 0.00385601, 0.00530621, 0.00676188, 0.00585022, 0.00822727, 0.00829076, 0.00550943, 0.00787925, 0.0168653, 0.0198226, 0.0182184, 0.0188091, 0.0178088, 0.0223531
0.02, 0.0319375, 0.0084598, 0.00535423, 0.00493072, 0.00449267, 0.00349946, 0.00231451, 0.00166944, 0.00289949, 0.00275185, 0.00343875, 0.00319982, 0.00211409, 0.0021807, 0.00188376, 0.00198215, 0.00232058, 0.0026225, 0.00412874, 0.00396442, 0.00294228, 0.00245306, 0.00331769, 0.00397784, 0.00320909, 0.00460659, 0.00420128, 0.004816, 0.0041957, 0.00461928, 0.00552295, 0.00489371, 0.00506748, 0.00501458, 0.00542774, 0.0102359, 0.0097493, 0.0114946, 0.0134752, 0.0142666, 0.013161
0.03, 0.0319375, 0.00666123, 0.00453907, 0.00458167, 0.00441078, 0.00278347, 0.00289961, 0.00193052, 0.0031038, 0.00345408, 0.00375008, 0.00363238, 0.00409574, 0.00209541, 0.00284945, 0.00204973, 0.0023421, 0.00335642, 0.00415427, 0.00378309, 0.00296962, 0.00408624, 0.00372823, 0.00395944, 0.00517873, 0.00709396, 0.00634927, 0.00692125, 0.00522533, 0.0054971, 0.00662772, 0.00524668, 0.00494258, 0.00662938, 0.00651817, 0.0120998, 0.0121218, 0.0123413, 0.0169491, 0.0170568, 0.0144529
0.04, 0.0319375, 0.00748721, 0.00540794, 0.00786624, 0.00441339, 0.00353153, 0.00429232, 0.00463969, 0.00577567, 0.00377929, 0.00324949, 0.00736025, 0.0046709, 0.00482454, 0.0036705, 0.00387881, 0.00354864, 0.00504198, 0.00382644, 0.00478338, 0.00421327, 0.0054728, 0.00493807, 0.00508575, 0.0059167, 0.00858592, 0.00659835, 0.00732285, 0.00854325, 0.00512975, 0.00698932, 0.00857706, 0.00623804, 0.00763274, 0.00770821, 0.0104618, 0.0170689, 0.0181322, 0.0175579, 0.0181768, 0.0177948
0.05, 0.0319375, 0.0147911, 0.0102275, 0.0117118, 0.00824819, 0.00670457, 0.00716273, 0.00762599, 0.00905739, 0.00555472, 0.00476095, 0.00545952, 0.00280416, 0.0059103, 0.00516485, 0.00627903, 0.00562217, 0.00644048, 0.00548868, 0.00499418, 0.0061679, 0.00501173, 0.00595344, 0.00641596, 0.00629928, 0.00993639, 0.00761132, 0.00435238, 0.0075078, 0.00592926, 0.0066141, 0.00986793, 0.00618935, 0.00552591, 0.00685021, 0.0101762, 0.0119826, 0.0109244, 0.0114011, 0.0115294, 0.0118146
0.06, 0.0319375, 0.00552674, 0.00320362, 0.0032382, 0.00198465, 0.00182069, 0.0021518, 0.00222983, 0.00233045, 0.00214525, 0.00293099, 0.00103027, 0.0015653, 0.00205104, 0.0019254, 0.0025137, 0.00168206, 0.00219652, 0.00287988, 0.00183497, 0.00254307, 0.00240287, 0.00223934, 0.00216845, 0.00210719, 0.00275185, 0.00249301, 0.00180606, 0.00258184, 0.00215049, 0.0022548, 0.00312246, 0.00231998, 0.00283067, 0.00337317, 0.00339254, 0.00331175, 0.0037553, 0.00260015, 0.00298269, 0.00258196
0.07, 0.0319375, 0.00375305, 0.00329179, 0.000957745, 0.00160994, 0.00154305, 0.00116626, 0.00152364, 0.00184461, 0.00250704, 0.00176203, 0.00151436, 0.00165504, 0.00171193, 0.00203962, 0.00158673, 0.00184628, 0.00173133, 0.0022906, 0.00187293, 0.00147365, 0.00197585, 0.0021236, 0.00165302, 0.00208649, 0.00193278, 0.00247625, 0.00235863, 0.00214585, 0.00166671, 0.0021669, 0.00235614, 0.0020966, 0.0023974, 0.00352298, 0.00260015, 0.0025533, 0.00329214, 0.0027553, 0.00360945, 0.0029027
0.08, 0.0319375, 0.00236506, 0.00408897, 0.00174656, 0.00164278, 0.00127223, 0.000846981, 0.00197026, 0.00272475, 0.00174775, 0.00110196, 0.00280666, 0.00154233, 0.0016554, 0.00104635, 0.00125413, 0.00160351, 0.0016191, 0.0019229, 0.00209624, 0.00233092, 0.00229156, 0.00212039, 0.00234674, 0.00285646, 0.00208732, 0.00194432, 0.00313743, 0.0025093, 0.00186186, 0.001884, 0.0019517, 0.00196526, 0.00281248, 0.00324485, 0.00228371, 0.00284196, 0.00371872, 0.00294799, 0.00359532, 0.00278704
0.09, 0.0319375, 0.00481944, 0.00490284, 0.00274698, 0.00183212, 0.00168289, 0.000665205, 0.00125258, 0.00220378, 0.000712022, 0.000797907, 0.00190196, 0.00295357, 0.00234829, 0.00124937, 0.00182867, 0.00200916, 0.00189506, 0.00214846, 0.00216429, 0.0016316, 0.00196609, 0.00279703, 0.00206793, 0.00210397, 0.00181201, 0.00192255, 0.0023157, 0.00279108, 0.00238813, 0.00184985, 0.00192124, 0.00199143, 0.00282056, 0.00341535, 0.00314064, 0.00384318, 0.00382561, 0.00311604, 0.00334929, 0.00296831
