# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0107051, 0.0115892, 0.00537961, 0.0049274, 0.00275078, 0.00136152, 0.00224672, 0.00621126, 0.00479228, 0.00239633, 0.00307421, 0.0039643, 0.00341024, 0.00278466, 0.00259646, 0.00377288, 0.00449765, 0.00338446, 0.00356289, 0.00348009, 0.0045107, 0.00529293, 0.00529162, 0.00746355, 0.0101978, 0.00663518, 0.0100695, 0.0115925, 0.00782248, 0.00915319, 0.0105097, 0.00917764, 0.00921603, 0.0141746, 0.0130896, 0.0101308, 0.00744462, 0.00691473, 0.00700198, 0.00873495
0.01, 0.0319375, 0.00964033, 0.00850354, 0.00329915, 0.00713846, 0.00665223, 0.00305579, 0.00203652, 0.00766633, 0.00437351, 0.00182165, 0.00295191, 0.00510698, 0.00348461, 0.00374343, 0.00211968, 0.00494329, 0.00251394, 0.00133568, 0.00244568, 0.00380388, 0.00412661, 0.00527395, 0.00588956, 0.00802909, 0.00561316, 0.00853817, 0.00927579, 0.00712106, 0.00751324, 0.00891467, 0.0105829, 0.00826285, 0.0110192, 0.0135795, 0.010094, 0.00940488, 0.00712142, 0.00843817, 0.0067382, 0.00960066
0.02, 0.0319375, 0.00719906, 0.00822644, 0.00363772, 0.00643823, 0.00770218, 0.00600084, 0.00179963, 0.00304188, 0.00363036, 0.00263915, 0.00242357, 0.00330391, 0.00335642, 0.00253856, 0.00267422, 0.00620214, 0.00325448, 0.00341214, 0.00492716, 0.00469214, 0.00363725, 0.00569151, 0.00850791, 0.00761925, 0.00569969, 0.00873211, 0.00982922, 0.00656199, 0.010804, 0.0124541, 0.0139654, 0.00690846, 0.00926434, 0.0108761, 0.0100701, 0.0101982, 0.00594265, 0.00805392, 0.00638658, 0.00930449
0.03, 0.0319375, 0.00589229, 0.00591125, 0.00230131, 0.00846477, 0.0140181, 0.00577709, 0.00613117, 0.00677159, 0.00332078, 0.00258695, 0.00300171, 0.00381765, 0.00376409, 0.00348283, 0.0026099, 0.00484958, 0.00317593, 0.00435298, 0.00434158, 0.00321538, 0.00300599, 0.00430562, 0.00504245, 0.0082437, 0.00738758, 0.0067324, 0.00916654, 0.00571403, 0.00653061, 0.00849881, 0.0105156, 0.00549117, 0.00708188, 0.0085312, 0.0128933, 0.0101826, 0.0065723, 0.00626161, 0.00582165, 0.00672826
0.04, 0.0319375, 0.0071548, 0.00383321, 0.00243237, 0.00462949, 0.00701335, 0.00400194, 0.00609918, 0.00705857, 0.0036578, 0.00267493, 0.00430301, 0.00545371, 0.00336319, 0.00585448, 0.0029178, 0.00391372, 0.00243391, 0.00371207, 0.00476143, 0.00456055, 0.00470685, 0.00441279, 0.00408327, 0.00511955, 0.00594064, 0.00727031, 0.00741208, 0.00530893, 0.00605345, 0.00885028, 0.00826368, 0.00905762, 0.00628637, 0.00692941, 0.0100449, 0.0116415, 0.00945708, 0.00692385, 0.00667438, 0.00839857
0.05, 0.0319375, 0.0106206, 0.00610641, 0.00559348, 0.00519509, 0.00572838, 0.00270299, 0.00309691, 0.00455627, 0.00508409, 0.00268005, 0.00262524, 0.00290971, 0.00377882, 0.005183, 0.00311259, 0.00425208, 0.00423309, 0.00281462, 0.00335274, 0.00319554, 0.00439119, 0.00388783, 0.00623638, 0.00578574, 0.00448246, 0.00601482, 0.00661789, 0.00544494, 0.005765, 0.00512761, 0.00795068, 0.0113089, 0.00788256, 0.00712035, 0.0106216, 0.010645, 0.00710272, 0.00583327, 0.0068733, 0.00648478
0.06, 0.0319375, 0.0064663, 0.00666858, 0.00776771, 0.00403246, 0.00255901, 0.00236684, 0.00143556, 0.00164802, 0.00227229, 0.00248195, 0.00238896, 0.00241346, 0.00219343, 0.002037, 0.00294894, 0.00425303, 0.0036477, 0.00171847, 0.00206484, 0.00177143, 0.00323535, 0.00513769, 0.00590923, 0.0074058, 0.00810252, 0.00527253, 0.00719397, 0.00441268, 0.00469072, 0.00828863, 0.00688099, 0.0086865, 0.00655264, 0.00926812, 0.0112695, 0.00741882, 0.00416649, 0.00422075, 0.00860034, 0.00642165
0.07, 0.0319375, 0.0045094, 0.00364734, 0.00696682, 0.00331674, 0.00207245, 0.00236482, 0.0014533, 0.00235281, 0.00199774, 0.00194884, 0.00359377, 0.00427618, 0.00184937, 0.00407199, 0.00234079, 0.00419047, 0.00308918, 0.00290377, 0.00397416, 0.00411616, 0.00333183, 0.00431262, 0.0056422, 0.00814722, 0.00733859, 0.00426858, 0.00387703, 0.00562739, 0.00480426, 0.00773317, 0.00622264, 0.00639097, 0.00636171, 0.0110071, 0.0114673, 0.00691438, 0.00420591, 0.00438763, 0.00572067, 0.00651723
0.08, 0.0319375, 0.00500592, 0.00628471, 0.00447617, 0.00465797, 0.00311093, 0.00233413, 0.00150067, 0.00181867, 0.00235281, 0.00180546, 0.00245936, 0.00336557, 0.002581, 0.0032275, 0.00250241, 0.00362323, 0.00519581, 0.00484175, 0.00600486, 0.00542727, 0.00639902, 0.00672956, 0.00876626, 0.0127762, 0.00655335, 0.0065498, 0.00694303, 0.00651652, 0.00710982, 0.00713408, 0.0107362, 0.00626291, 0.00536111, 0.0124568, 0.00900883, 0.00549805, 0.00511326, 0.00502443, 0.00643669, 0.00800981
0.09, 0.0319375, 0.00263094, 0.00614373, 0.00841512, 0.00796523, 0.00485622, 0.00271226, 0.00493653, 0.0059577, 0.0037673, 0.00266459, 0.00344529, 0.00185865, 0.00449504, 0.0060243, 0.00432591, 0.00389163, 0.00523921, 0.00513497, 0.00624396, 0.00490604, 0.00609492, 0.00791946, 0.0062949, 0.0129625, 0.010172, 0.00684323, 0.00917351, 0.0064284, 0.00793554, 0.010997, 0.0183063, 0.00856524, 0.00612762, 0.0094416, 0.00942625, 0.00904711, 0.00698162, 0.00677053, 0.0067086, 0.00774393
