# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0058655, 0.0102579, 0.00528356, 0.00387762, 0.0024747, 0.00208423, 0.00328858, 0.00250383, 0.00287346, 0.00211849, 0.00199012, 0.00200571, 0.00203284, 0.00212075, 0.00384212, 0.00178262, 0.00197287, 0.00197406, 0.00259622, 0.00241512, 0.00380815, 0.00633778, 0.00383333, 0.00232426, 0.0048548, 0.00501885, 0.00515762, 0.00691035, 0.00434621, 0.00380744, 0.00530348, 0.00856287, 0.00534569, 0.00476095, 0.0040822, 0.00341951, 0.00402723, 0.00468953, 0.00565927, 0.00777765
0.01, 0.0319375, 0.0116127, 0.00727386, 0.0058245, 0.00246661, 0.00108946, 0.00247125, 0.0050995, 0.00456482, 0.00223042, 0.00158566, 0.00272558, 0.00263225, 0.0021744, 0.00152126, 0.00239419, 0.00194027, 0.0011278, 0.00151626, 0.0025049, 0.00300516, 0.00415961, 0.00471575, 0.00426965, 0.00258814, 0.00298769, 0.00377787, 0.00380067, 0.00309441, 0.00424401, 0.00254735, 0.00407461, 0.00412387, 0.0038794, 0.00369319, 0.00281141, 0.00401144, 0.00420911, 0.00239217, 0.00327218, 0.00222233
0.02, 0.0319375, 0.0072767, 0.0115439, 0.00666159, 0.00429197, 0.0036243, 0.00227003, 0.00223197, 0.00409978, 0.00205925, 0.00202284, 0.00216536, 0.00242559, 0.00217225, 0.00299054, 0.00286455, 0.00175548, 0.00188162, 0.00177833, 0.0016235, 0.00319815, 0.00425422, 0.00461098, 0.00392726, 0.00436639, 0.00366979, 0.0034757, 0.00364794, 0.00299945, 0.00387168, 0.00267957, 0.00426573, 0.00461489, 0.00343602, 0.00280559, 0.00328786, 0.00395908, 0.00440627, 0.00354032, 0.00408066, 0.00243593
0.03, 0.0319375, 0.0071129, 0.00744142, 0.00539431, 0.0047619, 0.0040327, 0.00400444, 0.00550362, 0.00490699, 0.00268028, 0.00291435, 0.00216881, 0.0031265, 0.00213098, 0.002642, 0.00191576, 0.00159946, 0.0020433, 0.00207649, 0.00266483, 0.00343982, 0.00342295, 0.0038021, 0.00352096, 0.0036458, 0.00488754, 0.00467315, 0.00438395, 0.00500462, 0.00637699, 0.0037458, 0.00558317, 0.00546379, 0.00492692, 0.00318936, 0.0036888, 0.00358546, 0.00420045, 0.00515193, 0.00547529, 0.00528142
0.04, 0.0319375, 0.00606399, 0.00665472, 0.00421968, 0.00524763, 0.00386883, 0.00442585, 0.00442015, 0.00405359, 0.00389971, 0.00204092, 0.00316203, 0.00336723, 0.0033026, 0.00314111, 0.00274722, 0.00183592, 0.00289307, 0.0028296, 0.0027654, 0.00373131, 0.00412174, 0.00685045, 0.00390185, 0.00486879, 0.00497117, 0.0042287, 0.00394804, 0.00743479, 0.00597607, 0.00422431, 0.00618757, 0.0066019, 0.00771791, 0.0037977, 0.00358225, 0.0040131, 0.00407757, 0.00610191, 0.00639523, 0.0080039
0.05, 0.0319375, 0.0039022, 0.00556088, 0.00645315, 0.00824961, 0.0060269, 0.0047059, 0.00663376, 0.00408612, 0.00255925, 0.00254379, 0.00383915, 0.00403044, 0.00483415, 0.00448377, 0.00398663, 0.00245056, 0.00442965, 0.00355089, 0.00312733, 0.00365269, 0.00338363, 0.0068437, 0.00351157, 0.00336426, 0.00282567, 0.00462937, 0.00460445, 0.00384176, 0.00336581, 0.00311461, 0.0026936, 0.00261715, 0.00419819, 0.00437754, 0.00475206, 0.00507092, 0.00445172, 0.00574781, 0.00474672, 0.00368345
0.06, 0.0319375, 0.0100087, 0.0039687, 0.00509013, 0.0032578, 0.00351466, 0.00287798, 0.00480212, 0.00497105, 0.00257554, 0.00155007, 0.00154221, 0.00222542, 0.00188185, 0.00147865, 0.00169313, 0.00239538, 0.00266055, 0.00149603, 0.00229179, 0.0027685, 0.00382015, 0.0062468, 0.00358831, 0.00259182, 0.00223209, 0.00303154, 0.00466995, 0.00457692, 0.00340062, 0.00339432, 0.00355553, 0.00372751, 0.00367157, 0.00383962, 0.00347724, 0.0053617, 0.00506641, 0.00607454, 0.00680356, 0.00405359
0.07, 0.0319375, 0.0058815, 0.00687614, 0.00614089, 0.00320932, 0.00259004, 0.00381219, 0.00408897, 0.0047479, 0.00375519, 0.00211896, 0.00215572, 0.00135306, 0.00165992, 0.0019768, 0.00225897, 0.0021556, 0.00365993, 0.00257554, 0.0025659, 0.00287548, 0.00408778, 0.00495077, 0.0033361, 0.00389971, 0.00365898, 0.00294823, 0.00469356, 0.00575623, 0.00556053, 0.00412091, 0.00347368, 0.00398425, 0.00337792, 0.00360031, 0.00346952, 0.00597157, 0.00597891, 0.00485266, 0.00633565, 0.00501529
0.08, 0.0319375, 0.00356729, 0.00265591, 0.00413693, 0.00384698, 0.0027868, 0.0030792, 0.00316084, 0.0024332, 0.00293206, 0.00247732, 0.00249468, 0.00135723, 0.00130009, 0.00125865, 0.00281058, 0.00182914, 0.00387252, 0.0021261, 0.00185484, 0.00324877, 0.00343661, 0.00417575, 0.0041272, 0.00370055, 0.00454488, 0.00281961, 0.00419938, 0.00596185, 0.00427915, 0.00382122, 0.00333397, 0.00403768, 0.00341428, 0.00293931, 0.00332696, 0.004816, 0.00542679, 0.00598697, 0.00743965, 0.00513212
0.09, 0.0319375, 0.00686702, 0.00334894, 0.00226349, 0.00427784, 0.00120758, 0.00276338, 0.00409752, 0.00294537, 0.00192576, 0.00298495, 0.00336545, 0.00252857, 0.00179225, 0.00160506, 0.00284493, 0.00205401, 0.00445635, 0.00211539, 0.00150162, 0.00294383, 0.00407164, 0.00372846, 0.00410405, 0.00315977, 0.0036028, 0.00245841, 0.00318425, 0.00368369, 0.00337888, 0.00318663, 0.00364449, 0.00388487, 0.0032622, 0.002459, 0.00340014, 0.00427179, 0.00525379, 0.00582047, 0.00618828, 0.00513627
