# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.0141336, 0.0123034, 0.00991043, 0.0111292, 0.00647755, 0.0114324, 0.0141703, 0.0210372, 0.0101716, 0.0108237, 0.0113043, 0.00703986, 0.00607537, 0.00592938, 0.00980632, 0.0115941, 0.0216995, 0.0120248, 0.0303981, 0.0423376, 0.0331638, 0.0253642, 0.0225587, 0.0256814, 0.0276944, 0.0254463, 0.0197585, 0.0233218, 0.0180067, 0.0243461, 0.0195418, 0.0221233, 0.0151804, 0.0169324, 0.0289226, 0.0285022, 0.0142272, 0.0189577, 0.0223992, 0.0213979
0.01, 0.0319375, 0.0139582, 0.020225, 0.0162342, 0.007833, 0.00811896, 0.00724155, 0.0116952, 0.00958732, 0.00857966, 0.0117529, 0.0142594, 0.0153936, 0.00837978, 0.0108673, 0.0200304, 0.0236864, 0.0316667, 0.028599, 0.019501, 0.0350449, 0.0355893, 0.0212342, 0.0348528, 0.026499, 0.0217757, 0.0166785, 0.0216094, 0.0215256, 0.0189226, 0.0265598, 0.0289328, 0.0249912, 0.0151866, 0.0216523, 0.0292762, 0.0244876, 0.017982, 0.0265418, 0.02201, 0.0209831
0.02, 0.0319375, 0.0113574, 0.00976842, 0.013258, 0.0100678, 0.00632902, 0.00570147, 0.00918662, 0.0128443, 0.00523482, 0.00438657, 0.00788256, 0.0122492, 0.0151904, 0.00975756, 0.0173312, 0.0166904, 0.027448, 0.0272728, 0.0218518, 0.0199927, 0.0160672, 0.013957, 0.0289653, 0.0206356, 0.0234171, 0.0121515, 0.0207348, 0.0125674, 0.0176689, 0.0190029, 0.0158665, 0.014954, 0.0189107, 0.0227852, 0.0223848, 0.0268777, 0.0216381, 0.0267715, 0.0221469, 0.0240489
0.03, 0.0319375, 0.0116896, 0.0075918, 0.0128621, 0.0104831, 0.00416899, 0.00444709, 0.00900801, 0.00675206, 0.00629443, 0.00630331, 0.00734522, 0.00863119, 0.00919075, 0.00730522, 0.012066, 0.0113327, 0.0195133, 0.0154184, 0.00942755, 0.0135616, 0.0125601, 0.0161495, 0.011992, 0.0100145, 0.0115668, 0.0100818, 0.0170982, 0.0120802, 0.010437, 0.011739, 0.00871994, 0.00811766, 0.012488, 0.0155104, 0.017864, 0.0194003, 0.0133309, 0.0150307, 0.01605, 0.0171878
0.04, 0.0319375, 0.00640577, 0.00719575, 0.00408957, 0.00488445, 0.00355184, 0.00318663, 0.00612406, 0.00654672, 0.0102012, 0.00976134, 0.00688525, 0.00525996, 0.00686785, 0.00388819, 0.00830896, 0.0101264, 0.0226142, 0.0188201, 0.0219076, 0.0180434, 0.0119998, 0.0185054, 0.0212721, 0.0215234, 0.0150476, 0.0163583, 0.0176117, 0.0107761, 0.0072161, 0.0111186, 0.00832291, 0.00907074, 0.0129118, 0.0146288, 0.0149191, 0.0187957, 0.0119501, 0.0103105, 0.0152073, 0.013768
0.05, 0.0319375, 0.00649994, 0.0081017, 0.00311889, 0.0028819, 0.00317379, 0.00316143, 0.00240026, 0.0031726, 0.00326125, 0.00332185, 0.0043322, 0.00463791, 0.00427001, 0.00297735, 0.00496417, 0.00824914, 0.0181983, 0.0148064, 0.0216581, 0.0152689, 0.00703217, 0.011538, 0.015258, 0.0201751, 0.0144316, 0.0113437, 0.0102209, 0.00721788, 0.00527846, 0.00649093, 0.00663269, 0.00692787, 0.00724853, 0.00817264, 0.00673323, 0.0126829, 0.0100949, 0.00923516, 0.0105416, 0.0103955
0.06, 0.0319375, 0.0070865, 0.00501672, 0.00375554, 0.00078802, 0.00130866, 0.0038091, 0.00434004, 0.00329689, 0.00197847, 0.00164754, 0.00179773, 0.00353711, 0.00460172, 0.0032603, 0.00224291, 0.00263344, 0.00268421, 0.00407912, 0.00388855, 0.00395956, 0.00313493, 0.00403982, 0.0044427, 0.00518798, 0.00557167, 0.00247113, 0.00468478, 0.00436069, 0.00488398, 0.00506025, 0.00452245, 0.00325662, 0.00426122, 0.00477163, 0.00598567, 0.00695356, 0.00567326, 0.00596031, 0.00496227, 0.00569531
0.07, 0.0319375, 0.00642011, 0.00227633, 0.00285242, 0.00332755, 0.00372621, 0.00233782, 0.00403305, 0.00414465, 0.0030931, 0.00243082, 0.00265722, 0.00547908, 0.00373749, 0.00359116, 0.00465073, 0.00622939, 0.00356645, 0.00641229, 0.00633399, 0.00835554, 0.00399423, 0.00565417, 0.00554488, 0.00476202, 0.00528202, 0.00453064, 0.00672151, 0.00609314, 0.00951517, 0.00965709, 0.00564967, 0.00502312, 0.00461525, 0.00676165, 0.00981659, 0.0118806, 0.010239, 0.00830151, 0.00855637, 0.00989615
0.08, 0.0319375, 0.00470602, 0.00668006, 0.00832847, 0.00799479, 0.00444603, 0.00620676, 0.00343234, 0.00592618, 0.00428437, 0.00369687, 0.00269764, 0.00359449, 0.0035035, 0.00444626, 0.00728309, 0.00984893, 0.00689828, 0.00743409, 0.00662843, 0.00895449, 0.011281, 0.00601612, 0.00681292, 0.0077101, 0.0145096, 0.00993474, 0.00858462, 0.00735315, 0.0163793, 0.0164052, 0.0109603, 0.00935776, 0.00781644, 0.0104759, 0.0125575, 0.0105267, 0.0184759, 0.0125022, 0.0143641, 0.0128143
0.09, 0.0319375, 0.00606103, 0.0124057, 0.0161588, 0.0152012, 0.0122678, 0.010971, 0.0110343, 0.00975308, 0.00605499, 0.0055041, 0.00453408, 0.00671192, 0.0145442, 0.00708319, 0.00890794, 0.00995693, 0.00673844, 0.00904959, 0.0115796, 0.0132027, 0.0148612, 0.010263, 0.00953371, 0.00860258, 0.0145615, 0.0156462, 0.01265, 0.00996035, 0.0204104, 0.0229625, 0.0128074, 0.016267, 0.0109955, 0.0170853, 0.0186095, 0.0158467, 0.0266433, 0.0200558, 0.0267729, 0.0189183
0.1, 0.0319375, 0.00565856, 0.00776511, 0.00863544, 0.010623, 0.0166159, 0.00816366, 0.0112076, 0.0108242, 0.0108067, 0.0140999, 0.00982603, 0.0188128, 0.0176992, 0.01122, 0.0116246, 0.010181, 0.010503, 0.0150877, 0.0263938, 0.0173376, 0.0156331, 0.0216345, 0.0134442, 0.0197915, 0.014521, 0.0136564, 0.0245377, 0.0177933, 0.0251805, 0.0285596, 0.0170487, 0.0193607, 0.0146262, 0.0179821, 0.0266775, 0.0237176, 0.0223089, 0.0245239, 0.0314553, 0.0323076
0.11, 0.0319375, 0.0196213, 0.00644948, 0.00284434, 0.0125369, 0.0167607, 0.0105324, 0.0117444, 0.0127655, 0.00630912, 0.011017, 0.00785346, 0.015568, 0.00984574, 0.0113406, 0.0130257, 0.014343, 0.0117662, 0.0166736, 0.0183307, 0.0189934, 0.0207451, 0.0358508, 0.0202605, 0.0372947, 0.0215628, 0.0153786, 0.0247183, 0.0171641, 0.023182, 0.0354991, 0.0228012, 0.0178636, 0.0173057, 0.0220272, 0.0262725, 0.0249534, 0.0262603, 0.0356939, 0.0377098, 0.0435556
