# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0, 0.0319375, 0.00211587, 0.00351835, 0.00221317, 0.00220806, 0.00157542, 0.000395697, 0.00148829, 0.00182069, 0.00221591, 0.0012327, 0.00146889, 0.0013658, 0.00118352, 0.00215215, 0.00194075, 0.00184045, 0.00125818, 0.00143318, 0.00224945, 0.00236494, 0.00227288, 0.00243118, 0.00339682, 0.00326386, 0.00342723, 0.00482371, 0.00329499, 0.00371314, 0.00591338, 0.00860968, 0.011163, 0.00792478, 0.00561992, 0.0037945, 0.00265579, 0.00236577, 0.0029443, 0.00330474, 0.0031385, 0.00277741
0.01, 0.0319375, 0.00489691, 0.00715125, 0.0031385, 0.00130116, 0.000880212, 0.0026609, 0.0025143, 0.00280463, 0.00295381, 0.00115007, 0.00119079, 0.00221008, 0.00148853, 0.00163588, 0.00184782, 0.00208803, 0.00199453, 0.00134342, 0.00133461, 0.0020188, 0.0022397, 0.0033228, 0.004886, 0.00386159, 0.0047186, 0.00573549, 0.00397178, 0.00369271, 0.0072148, 0.0112571, 0.0149372, 0.0103545, 0.00583718, 0.0040213, 0.00293895, 0.00293361, 0.00374687, 0.00325507, 0.00335725, 0.00297806
0.02, 0.0319375, 0.00418596, 0.00750957, 0.00459615, 0.00171586, 0.00188423, 0.00415344, 0.00333967, 0.0021424, 0.00228037, 0.00128711, 0.00148365, 0.0023773, 0.00119043, 0.00197918, 0.00221401, 0.00206733, 0.00240846, 0.00152841, 0.00108755, 0.00304925, 0.00199393, 0.00297616, 0.00344315, 0.0036287, 0.00355909, 0.00377977, 0.00313375, 0.00169479, 0.00268278, 0.00328644, 0.00389045, 0.00311259, 0.00394744, 0.00378773, 0.00325519, 0.00261216, 0.00262809, 0.00323784, 0.00297461, 0.00312079
0.03, 0.0319375, 0.00639819, 0.00986274, 0.0041513, 0.00483475, 0.00373405, 0.00222697, 0.00228822, 0.00230785, 0.00161184, 0.00123996, 0.00176548, 0.00209589, 0.00161624, 0.00293741, 0.0022686, 0.00193611, 0.00325768, 0.00235174, 0.00202855, 0.0033481, 0.00239824, 0.00331757, 0.00372846, 0.004369, 0.0038933, 0.00422644, 0.00257672, 0.00207197, 0.00265888, 0.00261917, 0.00418264, 0.00381635, 0.004893, 0.00506582, 0.00466948, 0.00328739, 0.00293491, 0.00292885, 0.00263724, 0.0034757
0.04, 0.0319375, 0.00661197, 0.00755974, 0.00396134, 0.00290532, 0.00403863, 0.00363416, 0.00315454, 0.00451367, 0.00245603, 0.00212206, 0.00273973, 0.00308847, 0.00293717, 0.00223387, 0.00284398, 0.00245936, 0.00357572, 0.00302203, 0.00349233, 0.00380257, 0.00281307, 0.00340834, 0.00388914, 0.00388926, 0.00339099, 0.00427986, 0.00300207, 0.00233306, 0.00234805, 0.00279572, 0.00375198, 0.00343115, 0.00393854, 0.00506155, 0.00421362, 0.00450121, 0.00307219, 0.00334335, 0.00443119, 0.00399019
0.05, 0.0319375, 0.0052564, 0.00384793, 0.00495029, 0.00310297, 0.00609752, 0.00522356, 0.00524727, 0.00770715, 0.00386622, 0.00338814, 0.00469427, 0.00510638, 0.00477104, 0.00364817, 0.00485064, 0.00377454, 0.00535008, 0.00417112, 0.00410987, 0.00505218, 0.00417528, 0.00456921, 0.00399636, 0.00415486, 0.0024577, 0.00310808, 0.00386456, 0.0028101, 0.00321883, 0.00383606, 0.00355196, 0.00345503, 0.00410393, 0.00468443, 0.00406166, 0.00431677, 0.00405062, 0.00437007, 0.00508836, 0.00538482
0.06, 0.0319375, 0.00800071, 0.00711041, 0.00325151, 0.00186746, 0.00207174, 0.0011322, 0.00180415, 0.00262916, 0.00108696, 0.00140818, 0.00143663, 0.00239467, 0.0023559, 0.00132556, 0.00132973, 0.00204092, 0.0024502, 0.00116162, 0.00172657, 0.00407081, 0.0017155, 0.00168729, 0.0034321, 0.00207328, 0.00266685, 0.00191648, 0.00195396, 0.00203652, 0.00187055, 0.00319043, 0.00301597, 0.00281878, 0.00272332, 0.00341867, 0.0026143, 0.00197156, 0.00263213, 0.00245781, 0.00324747, 0.00354353
0.07, 0.0319375, 0.00878812, 0.00882676, 0.00254581, 0.00131628, 0.00123806, 0.00151067, 0.0022548, 0.000909392, 0.00145746, 0.00211647, 0.00134199, 0.00167004, 0.00148163, 0.00230892, 0.00165492, 0.00167813, 0.00166575, 0.00107386, 0.00285884, 0.00339646, 0.00244913, 0.00194063, 0.00220806, 0.00216179, 0.00182914, 0.00178476, 0.00157828, 0.0017894, 0.00216298, 0.0028567, 0.00287465, 0.00316678, 0.00321431, 0.00256911, 0.00202356, 0.00263403, 0.00268183, 0.00256733, 0.00339218, 0.00318366
0.08, 0.0319375, 0.00447712, 0.00710425, 0.00181022, 0.0021418, 0.0014052, 0.00128354, 0.00346726, 0.00311996, 0.0018809, 0.00140223, 0.00154186, 0.00134056, 0.00115471, 0.00193373, 0.00166206, 0.00151829, 0.0013464, 0.00170824, 0.0022284, 0.00154078, 0.00226325, 0.00253344, 0.00231594, 0.00238753, 0.00210528, 0.0024615, 0.00220651, 0.00223613, 0.00185365, 0.00199215, 0.00235923, 0.00279631, 0.00323832, 0.00280547, 0.00295393, 0.0028857, 0.00223744, 0.00279988, 0.0028504, 0.00341547
0.09, 0.0319375, 0.00447759, 0.00341891, 0.00239336, 0.00245306, 0.000843765, 0.00106266, 0.00180427, 0.00249515, 0.00152972, 0.00180808, 0.00235102, 0.0021518, 0.0012015, 0.00131199, 0.00184497, 0.00121793, 0.00135699, 0.00265199, 0.00227288, 0.00201749, 0.00133663, 0.00158494, 0.00235863, 0.00250157, 0.00245437, 0.00280416, 0.00223982, 0.00220627, 0.0017706, 0.00202141, 0.00242357, 0.00322798, 0.00309251, 0.00213586, 0.00289771, 0.00228002, 0.0022824, 0.00292636, 0.00200321, 0.00296522
