# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.393905, 0.30907, 0.333817, 0.43351, 2.00385, 1.31272, 1.17437, 0.498049, 0.776349, 1.03931, 0.810726, 1.00914, 0.880094, 1.0081, 1.30197, 1.25345, 1.11653, 1.14867, 1.04463, 1.31923, 1.2403, 1.00178, 1.06494, 1.09104, 1.26342, 1.12444, 1.20889, 1.11711, 1.39895, 1.4538, 1.51216, 1.33, 1.18428, 1.23001, 1.3005, 1.32945, 1.26943, 1.09138, 1.14625, 1.44781, 1.95534, 1.85614, 2.1897, 2.33888, 2.39187, 1.978, 1.74548, 1.25512, 1.27086, 1.16596
0.01, 0.0639375, 0.371239, 0.327473, 0.349428, 0.536622, 2.02106, 1.25013, 1.15304, 0.701973, 0.814122, 0.952395, 0.657788, 0.930938, 0.741516, 0.826072, 1.07641, 0.999679, 0.842712, 0.998001, 0.974025, 1.27331, 1.29415, 1.00907, 0.963063, 0.988272, 1.23896, 1.27592, 1.20608, 0.99709, 1.56568, 1.48966, 1.51295, 1.34399, 1.20056, 1.09973, 1.34817, 1.28222, 1.25661, 1.0626, 1.28625, 1.48027, 1.75025, 1.70571, 2.18488, 2.35912, 2.39734, 2.10909, 1.73404, 1.3162, 1.27894, 1.19092
0.02, 0.0639375, 0.403024, 0.471427, 0.487135, 0.556179, 2.02003, 1.17556, 1.03614, 0.856973, 0.87056, 0.885284, 0.700825, 0.808057, 0.590696, 0.931531, 1.00226, 0.723149, 0.874879, 0.959131, 0.910819, 1.24852, 1.25978, 1.04997, 1.02903, 1.0421, 1.16294, 1.3523, 1.2599, 1.16854, 1.59625, 1.47514, 1.41711, 1.43694, 1.23544, 1.01272, 1.34512, 1.28935, 1.18722, 1.11245, 1.31388, 1.55538, 1.64163, 1.58689, 2.1782, 2.39082, 2.27472, 2.22961, 1.68381, 1.40329, 1.42341, 1.25049
0.03, 0.0639375, 0.349636, 0.489695, 0.539075, 0.500619, 2.01591, 1.19868, 0.829296, 0.790878, 0.886897, 0.904582, 0.725964, 0.89625, 0.653364, 1.01791, 0.947696, 0.757238, 1.05314, 1.16592, 1.05742, 1.22886, 1.27968, 1.00961, 1.15173, 1.03611, 1.08841, 1.20972, 1.31694, 1.46088, 1.52623, 1.45237, 1.34881, 1.39634, 1.09438, 1.00444, 1.39012, 1.24016, 1.0822, 1.11747, 1.26017, 1.61673, 1.78318, 1.54058, 2.11459, 2.4405, 2.20456, 2.20654, 1.64165, 1.36826, 1.49483, 1.29571
0.04, 0.0639375, 0.448418, 0.461844, 0.550201, 0.478589, 2.0298, 1.18009, 0.758806, 0.604453, 0.822808, 0.890416, 0.703504, 0.818165, 0.782771, 0.985098, 0.87086, 0.914825, 1.1543, 1.27395, 1.30689, 1.21982, 1.26747, 0.956719, 1.11828, 0.982443, 1.04671, 0.949209, 1.28346, 1.56208, 1.43124, 1.51001, 1.51561, 1.25547, 0.884312, 1.03248, 1.33521, 1.09645, 0.973092, 1.04354, 1.13671, 1.57662, 1.79491, 1.63922, 2.12004, 2.57437, 2.28262, 2.13098, 1.67864, 1.30589, 1.55728, 1.29186
0.05, 0.0639375, 0.560424, 0.48483, 0.582631, 0.480818, 2.01388, 1.1959, 0.859596, 0.490615, 0.720787, 0.966598, 0.783518, 0.76311, 0.879347, 0.997831, 0.934675, 1.08978, 1.26971, 1.29921, 1.38733, 1.27163, 1.10061, 0.872108, 0.964345, 1.00907, 1.13051, 1.04555, 1.24431, 1.40154, 1.25496, 1.50366, 1.65038, 1.24803, 0.974733, 1.14307, 1.18875, 1.09232, 0.950407, 1.02028, 1.05783, 1.47256, 1.65922, 1.72658, 2.11455, 2.54512, 2.28353, 2.06493, 1.73102, 1.34165, 1.58015, 1.28733
0.06, 0.0639375, 0.550088, 0.529785, 0.620414, 0.517184, 2.00733, 1.31508, 0.973628, 0.544944, 0.741762, 0.905161, 0.798426, 0.842921, 0.973283, 1.09397, 1.07959, 1.09056, 1.3222, 1.17208, 1.27545, 1.37718, 1.15255, 0.83272, 0.843473, 1.10684, 1.25507, 1.1784, 1.19211, 1.14991, 1.07094, 1.40394, 1.66458, 1.36867, 1.25334, 1.25408, 1.1465, 1.25646, 1.03147, 0.962024, 1.09154, 1.38313, 1.5643, 1.71472, 2.07307, 2.36114, 2.2375, 1.98223, 1.70565, 1.38882, 1.46586, 1.24589
0.07, 0.0639375, 0.465991, 0.441898, 0.626473, 0.62876, 2.05928, 1.35075, 1.04867, 0.622793, 0.820285, 0.821574, 0.746469, 0.905646, 1.02134, 1.06826, 1.15731, 1.02162, 1.19316, 0.973826, 1.14961, 1.4925, 1.36772, 0.852373, 0.875987, 1.20793, 1.29588, 1.15469, 1.20406, 1.16376, 1.16712, 1.36344, 1.53525, 1.34082, 1.39684, 1.24272, 1.22831, 1.47263, 1.07474, 1.00897, 1.15725, 1.37154, 1.63175, 1.58996, 1.97343, 2.14508, 2.25276, 1.86629, 1.59335, 1.39972, 1.39289, 1.26668
0.08, 0.0639375, 0.488379, 0.36606, 0.559257, 0.76586, 2.09747, 1.21741, 1.08095, 0.660478, 0.848558, 0.883404, 0.725377, 0.997727, 1.04477, 0.944099, 1.08489, 1.0491, 1.09826, 0.712859, 1.11593, 1.61228, 1.40424, 0.955681, 1.00666, 1.26229, 1.22012, 1.12476, 1.3957, 1.22542, 1.27487, 1.41047, 1.44041, 1.28548, 1.3689, 1.21012, 1.31853, 1.56568, 1.11942, 1.12062, 1.1322, 1.40798, 1.77845, 1.52539, 1.95251, 2.13233, 2.28002, 1.90809, 1.60907, 1.40116, 1.41134, 1.3251
0.09, 0.0639375, 0.487932, 0.340806, 0.512354, 0.790203, 2.09029, 1.10451, 1.02852, 0.66318, 0.844542, 0.952324, 0.637596, 0.920297, 1.0194, 0.850225, 0.982854, 1.0118, 1.01357, 0.737833, 1.11997, 1.5321, 1.29969, 1.04537, 1.12686, 1.20533, 1.15535, 1.10755, 1.53129, 1.29657, 1.35983, 1.30841, 1.35494, 1.24686, 1.23878, 1.24316, 1.34216, 1.51194, 1.13694, 1.13099, 1.09214, 1.45787, 1.81204, 1.63363, 2.00374, 2.38693, 2.31313, 1.99338, 1.67212, 1.35538, 1.42045, 1.38983
0.1, 0.0639375, 0.440292, 0.388145, 0.601098, 0.685682, 2.03886, 1.12548, 0.855957, 0.573452, 0.846252, 0.929392, 0.578407, 0.71221, 1.01604, 0.884312, 0.947991, 0.922564, 0.878357, 0.866854, 1.08988, 1.31132, 1.21132, 0.982358, 1.17651, 1.03138, 0.995688, 1.05629, 1.60133, 1.39738, 1.47658, 1.3392, 1.30042, 1.11452, 1.08094, 1.25987, 1.41471, 1.457, 1.10041, 1.18853, 1.16258, 1.5055, 1.78632, 1.71726, 1.97354, 2.51624, 2.3043, 2.05222, 1.72963, 1.32346, 1.38661, 1.42876
0.11, 0.0639375, 0.455916, 0.379466, 0.633639, 0.617734, 2.06166, 1.26897, 0.926723, 0.591854, 0.823642, 0.822416, 0.810852, 0.667718, 1.01151, 0.924097, 0.85019, 0.929207, 1.03674, 1.13339, 1.21328, 1.248, 1.11548, 0.802908, 1.06094, 0.930556, 0.927991, 1.01665, 1.63272, 1.45551, 1.51017, 1.36103, 1.33695, 1.11436, 1.07623, 1.166, 1.44434, 1.47121, 1.18845, 1.27267, 1.28018, 1.43945, 1.71221, 1.81254, 1.96046, 2.49941, 2.16639, 2.00707, 1.71212, 1.28648, 1.40529, 1.41908
0.12, 0.0639375, 0.497411, 0.42548, 0.561098, 0.72747, 2.14665, 1.33704, 1.09154, 0.539012, 0.76129, 0.771599, 0.947413, 0.806564, 1.06248, 0.945185, 0.850152, 0.865803, 1.0606, 1.2321, 1.29919, 1.44025, 1.0553, 0.811401, 0.828244, 0.825416, 0.972017, 1.02355, 1.65267, 1.39448, 1.3538, 1.23453, 1.28289, 1.20454, 1.1864, 1.09361, 1.35074, 1.46643, 1.28234, 1.2252, 1.31515, 1.32142, 1.64083, 1.93053, 2.11443, 2.49747, 2.15624, 1.9595, 1.65663, 1.37326, 1.41963, 1.35277
0.13, 0.0639375, 0.488878, 0.574872, 0.569653, 0.765646, 2.15385, 1.28687, 1.16211, 0.553316, 0.720861, 0.795356, 0.860453, 0.8284, 1.02565, 0.973784, 0.94511, 0.886436, 1.10487, 1.14664, 1.25067, 1.54994, 1.0025, 0.976711, 0.934481, 0.818974, 1.05956, 1.15466, 1.59899, 1.27446, 1.19724, 1.2499, 1.35371, 1.1668, 1.29325, 1.1243, 1.30553, 1.57284, 1.34726, 1.18708, 1.34252, 1.32025, 1.69561, 1.94383, 2.17935, 2.45476, 2.24019, 1.93909, 1.69989, 1.43064, 1.48812, 1.29813
0.14, 0.0639375, 0.53039, 0.595237, 0.695947, 0.720253, 2.1137, 1.2462, 1.12324, 0.655279, 0.763878, 0.833729, 0.657385, 0.867059, 0.947749, 1.00357, 1.14999, 0.979505, 1.19998, 1.1068, 1.22846, 1.49918, 0.99344, 1.05625, 1.10852, 0.825868, 1.16779, 1.25127, 1.47239, 1.25269, 1.21825, 1.32176, 1.49203, 1.11959, 1.26782, 1.1741, 1.33424, 1.61417, 1.33207, 1.24868, 1.35304, 1.50126, 1.82355, 1.85238, 2.12518, 2.34257, 2.26522, 2.01786, 1.83929, 1.38377, 1.44045, 1.211
0.15, 0.0639375, 0.591339, 0.51485, 0.706128, 0.58989, 2.07303, 1.26406, 1.16808, 0.658812, 0.878501, 0.743455, 0.770579, 1.04158, 1.13923, 1.024, 1.33287, 1.02735, 1.13594, 1.03976, 1.33064, 1.55221, 1.21129, 1.07936, 1.21964, 0.976942, 1.28244, 1.25311, 1.23504, 1.24202, 1.33385, 1.34981, 1.46962, 1.20365, 1.24955, 1.18622, 1.36003, 1.52895, 1.23069, 1.2631, 1.34061, 1.70964, 1.90742, 1.81463, 2.12374, 2.17217, 2.1743, 2.05006, 1.8738, 1.38902, 1.40708, 1.18488
0.16, 0.0639375, 0.545903, 0.537326, 0.618749, 0.556137, 2.01315, 1.25566, 1.22453, 0.620819, 0.84561, 0.576271, 0.863713, 1.18682, 1.3188, 1.05072, 1.37493, 1.17515, 1.02024, 0.900129, 1.4408, 1.70725, 1.32544, 1.07481, 1.29011, 1.11748, 1.202, 1.20203, 1.23177, 1.21434, 1.3903, 1.34332, 1.44654, 1.29731, 1.329, 1.14244, 1.27062, 1.364, 1.14697, 1.3079, 1.27218, 1.69897, 1.8673, 1.94034, 2.21193, 2.09263, 2.12349, 2.02072, 1.80395, 1.40677, 1.39632, 1.179
0.17, 0.0639375, 0.475804, 0.658407, 0.504414, 0.586219, 2.03646, 1.25733, 1.08816, 0.509997, 0.679046, 0.545811, 0.821746, 1.07369, 1.2716, 1.11446, 1.28496, 1.2463, 1.1004, 0.846094, 1.38893, 1.77771, 1.23382, 0.96374, 1.24874, 1.16177, 1.04493, 1.17882, 1.30687, 1.21241, 1.42406, 1.3312, 1.44149, 1.31154, 1.30078, 1.05672, 1.14891, 1.19217, 1.11606, 1.27884, 1.19502, 1.47236, 1.70486, 1.98953, 2.21149, 2.12641, 2.18017, 1.84966, 1.68512, 1.35759, 1.41042, 1.16982
0.18, 0.0639375, 0.468216, 0.683342, 0.523698, 0.692096, 2.08635, 1.26088, 0.774689, 0.386969, 0.570793, 0.526497, 0.698878, 0.814895, 0.97617, 1.13438, 1.22806, 1.32803, 1.25502, 0.879907, 1.3446, 1.71681, 1.13306, 0.881343, 1.21055, 1.17263, 1.03901, 1.14032, 1.30036, 1.14732, 1.43367, 1.26701, 1.45512, 1.22574, 1.22678, 1.11189, 1.18842, 1.25493, 1.17166, 1.19181, 1.19822, 1.4017, 1.58257, 1.93568, 2.11562, 2.17107, 2.28872, 1.87643, 1.69702, 1.32057, 1.40542, 1.18757
0.19, 0.0639375, 0.5096, 0.573477, 0.474346, 0.733106, 2.05567, 1.19653, 0.818107, 0.470416, 0.495182, 0.4161, 0.554812, 0.726154, 0.775569, 1.18647, 1.292, 1.39798, 1.35453, 0.969032, 1.4874, 1.61979, 1.0321, 0.891801, 1.21212, 1.07859, 1.0265, 1.04617, 1.27467, 1.15076, 1.32098, 1.13736, 1.45384, 1.21285, 1.25367, 1.18767, 1.26299, 1.33469, 1.1326, 1.25202, 1.21431, 1.48247, 1.54484, 1.83584, 2.09488, 2.31278, 2.29761, 2.05113, 1.88949, 1.40873, 1.38095, 1.2011
0.2, 0.0639375, 0.518746, 0.449764, 0.418576, 0.675999, 2.02816, 1.18471, 1.00483, 0.553499, 0.447351, 0.405821, 0.664252, 0.708285, 0.825016, 1.24088, 1.19093, 1.28082, 1.41785, 1.12591, 1.5257, 1.4832, 1.06957, 1.00657, 1.31878, 1.06613, 1.01346, 1.02954, 1.27111, 1.20079, 1.27061, 1.17292, 1.49143, 1.24822, 1.26846, 1.20098, 1.32963, 1.43787, 1.06375, 1.3331, 1.22947, 1.50009, 1.65429, 1.75791, 2.20274, 2.52984, 2.28149, 2.14728, 2.0248, 1.46161, 1.38176, 1.20809
0.21, 0.0639375, 0.393784, 0.305438, 0.457843, 0.654078, 2.03564, 1.20675, 1.05001, 0.617337, 0.452712, 0.460949, 0.641502, 0.856335, 0.883201, 1.21813, 1.03809, 1.18463, 1.36213, 1.20031, 1.36, 1.44849, 1.14899, 1.17646, 1.27807, 1.08403, 1.16254, 1.13843, 1.25131, 1.16569, 1.27859, 1.40943, 1.49009, 1.25548, 1.21752, 1.20628, 1.4163, 1.45102, 1.06033, 1.27963, 1.26124, 1.502, 1.66202, 1.68105, 2.22493, 2.58563, 2.38726, 2.10072, 1.98371, 1.45178, 1.40934, 1.20396
0.22, 0.0639375, 0.287118, 0.251881, 0.586349, 0.692372, 2.05819, 1.1988, 1.00601, 0.627725, 0.373258, 0.519544, 0.590636, 1.0364, 0.957041, 1.05193, 0.89988, 0.966174, 1.17488, 1.15613, 1.20349, 1.53203, 1.28167, 1.19693, 1.09433, 1.07404, 1.30303, 1.24748, 1.1518, 1.16687, 1.28096, 1.51123, 1.44568, 1.1949, 1.22575, 1.22438, 1.44512, 1.36554, 1.13237, 1.15984, 1.26583, 1.49893, 1.57964, 1.73459, 2.17955, 2.50092, 2.44641, 1.96914, 1.79314, 1.47792, 1.38047, 1.20072
0.23, 0.0639375, 0.333528, 0.379817, 0.725459, 0.716609, 2.04296, 1.18551, 0.91058, 0.605487, 0.486181, 0.607068, 0.606487, 1.0383, 0.960633, 0.964154, 0.832306, 0.886683, 1.1069, 1.08354, 1.13603, 1.49285, 1.29668, 1.08934, 0.898268, 1.1, 1.32629, 1.28828, 1.08839, 1.23928, 1.34287, 1.5004, 1.49373, 1.15662, 1.27835, 1.20963, 1.41172, 1.24949, 1.16481, 1.17054, 1.2176, 1.50182, 1.52374, 1.79235, 2.12735, 2.44641, 2.38375, 1.96985, 1.76705, 1.52724, 1.28899, 1.24523
0.24, 0.0639375, 0.363089, 0.413327, 0.686628, 0.54654, 2.04627, 1.25808, 0.938624, 0.818666, 0.567877, 0.675929, 0.603702, 0.910713, 0.896893, 0.932308, 0.873926, 1.1333, 1.1887, 1.19689, 1.03393, 1.2724, 1.17822, 1.03506, 0.937985, 1.14009, 1.20915, 1.14324, 1.0483, 1.28869, 1.46525, 1.45187, 1.5711, 1.12987, 1.30083, 1.22178, 1.3543, 1.1517, 1.1986, 1.18833, 1.11767, 1.52052, 1.60342, 1.77097, 2.06024, 2.34224, 2.28759, 1.98762, 1.75561, 1.50462, 1.29975, 1.34459
0.25, 0.0639375, 0.350553, 0.382066, 0.480414, 0.404223, 2.0851, 1.29338, 1.01653, 0.998106, 0.658951, 0.74589, 0.580555, 0.862467, 1.04119, 0.97077, 0.943864, 1.23395, 1.243, 1.30787, 0.98522, 1.15362, 1.15876, 1.03764, 1.01921, 1.13503, 1.04497, 0.982281, 0.965468, 1.24086, 1.48366, 1.42638, 1.55964, 1.17287, 1.35922, 1.32393, 1.38092, 1.16534, 1.13816, 1.16292, 1.16781, 1.63949, 1.58725, 1.74115, 2.07487, 2.24709, 2.26655, 1.9901, 1.71928, 1.47204, 1.34841, 1.36516
0.26, 0.0639375, 0.40498, 0.323579, 0.403143, 0.422414, 2.08413, 1.20842, 1.04727, 1.06121, 0.724611, 0.813911, 0.51654, 0.928977, 1.17029, 1.05016, 0.982815, 1.24045, 1.16213, 1.23732, 1.03564, 1.21443, 1.29112, 1.08064, 1.00748, 1.15681, 1.04535, 1.00471, 0.925463, 1.23313, 1.4087, 1.4652, 1.48581, 1.2059, 1.41393, 1.29854, 1.30984, 1.21517, 1.15387, 1.19763, 1.2153, 1.74837, 1.62218, 1.75376, 2.05042, 2.27381, 2.15366, 1.92867, 1.66792, 1.5343, 1.409, 1.31259
0.27, 0.0639375, 0.384027, 0.375396, 0.453395, 0.400885, 2.06377, 1.1408, 1.0117, 1.00281, 0.76857, 0.728678, 0.547879, 0.973554, 1.12378, 1.10618, 1.05164, 1.33147, 1.03345, 1.16904, 1.123, 1.36477, 1.34377, 1.08589, 1.07688, 1.14558, 1.01039, 1.0108, 0.938478, 1.28148, 1.42648, 1.46428, 1.42341, 1.19024, 1.44217, 1.17842, 1.1853, 1.27295, 1.28182, 1.26917, 1.19946, 1.74799, 1.75476, 1.79977, 2.06954, 2.42528, 2.05965, 1.89022, 1.69906, 1.58392, 1.39345, 1.26673
0.28, 0.0639375, 0.289969, 0.561121, 0.414097, 0.405894, 2.05485, 1.17004, 0.814352, 0.795604, 0.941727, 0.676115, 0.623152, 0.913776, 0.963169, 1.11456, 1.18941, 1.31409, 1.06317, 1.25929, 1.10495, 1.40673, 1.25096, 1.02002, 1.12587, 1.11886, 0.941997, 1.06396, 1.02198, 1.29516, 1.51337, 1.2877, 1.45611, 1.17422, 1.37302, 1.17137, 1.15758, 1.2467, 1.27777, 1.24061, 1.13067, 1.6133, 1.83836, 1.79035, 2.10671, 2.58938, 2.16249, 1.89419, 1.7132, 1.56896, 1.32279, 1.20092
0.29, 0.0639375, 0.303985, 0.696432, 0.316515, 0.488298, 2.09448, 1.1577, 0.656317, 0.73941, 1.01957, 0.805433, 0.735406, 0.839865, 0.856789, 0.967641, 1.27581, 1.13614, 1.12967, 1.29524, 0.980705, 1.36422, 1.07796, 0.891019, 1.21984, 1.25021, 0.957907, 1.04549, 1.0791, 1.22081, 1.49321, 1.34186, 1.58946, 1.1285, 1.19337, 1.22196, 1.18137, 1.21651, 1.2348, 1.25966, 1.07978, 1.45801, 1.76139, 1.7701, 2.14645, 2.64298, 2.30051, 1.93093, 1.73308, 1.49206, 1.30418, 1.15253
0.3, 0.0639375, 0.527324, 0.806211, 0.469796, 0.623893, 2.13565, 1.17164, 0.811171, 0.610386, 0.928761, 0.823963, 0.729862, 0.776977, 0.793014, 0.817486, 1.26032, 0.958581, 1.14172, 1.23278, 0.940977, 1.37532, 1.23271, 0.873483, 1.25544, 1.21026, 1.01542, 1.07025, 1.12422, 1.18679, 1.53079, 1.46235, 1.62582, 1.16527, 1.11185, 1.22051, 1.11166, 1.26364, 1.17485, 1.22924, 1.12721, 1.36237, 1.64089, 1.80895, 2.22464, 2.57194, 2.33241, 2.0562, 1.83195, 1.49798, 1.42356, 1.33957
0.31, 0.0639375, 0.667169, 0.793323, 0.573988, 0.618042, 2.1097, 1.19239, 1.04288, 0.542466, 0.904602, 0.795415, 0.733594, 0.680083, 0.786864, 0.891178, 1.21833, 0.904855, 1.19687, 1.19247, 1.09252, 1.36519, 1.32581, 0.88726, 1.21096, 1.03292, 1.15006, 1.09603, 1.16271, 1.27745, 1.48056, 1.42619, 1.52101, 1.31961, 1.11867, 1.19108, 1.07219, 1.30045, 1.17745, 1.20484, 1.14419, 1.35448, 1.61073, 1.80494, 2.20517, 2.41793, 2.37607, 2.20236, 1.94882, 1.59023, 1.49231, 1.41977
0.32, 0.0639375, 0.6151, 0.658384, 0.533998, 0.554906, 2.05974, 1.22674, 1.14003, 0.496522, 1.01145, 0.81181, 0.709095, 0.6783, 0.855618, 0.941896, 1.19589, 0.975737, 1.27207, 1.02528, 1.0984, 1.26017, 1.22387, 0.91223, 1.18111, 0.937686, 1.2104, 1.1405, 1.23534, 1.35601, 1.35105, 1.41193, 1.40872, 1.51165, 1.21987, 1.16441, 1.20536, 1.38348, 1.20218, 1.1419, 1.08518, 1.41535, 1.73232, 1.70009, 2.11768, 2.31295, 2.39992, 2.18731, 1.91682, 1.5713, 1.4536, 1.42067
0.33, 0.0639375, 0.451324, 0.562349, 0.496158, 0.545468, 2.04963, 1.25831, 1.12726, 0.471325, 0.984767, 0.775521, 0.599993, 0.760288, 1.00297, 1.05036, 1.27113, 1.05439, 1.32341, 1.10942, 1.06994, 1.25174, 1.03524, 0.956615, 1.03904, 0.914452, 1.17072, 1.22596, 1.26307, 1.34597, 1.36934, 1.48066, 1.32949, 1.49296, 1.279, 1.12276, 1.30013, 1.39854, 1.20351, 1.05352, 1.06155, 1.49813, 1.78387, 1.58375, 1.98442, 2.18221, 2.36597, 2.07916, 1.7443, 1.48595, 1.41233, 1.42726
