# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.0249237, 0.0181022, 0.0247157, 0.0159214, 0.0145598, 0.00880821, 0.00971636, 0.0134023, 0.0225221, 0.0206839, 0.0204604, 0.0201337, 0.0204071, 0.0326107, 0.0199586, 0.02167, 0.0464703, 0.0283033, 0.0338298, 0.0228477, 0.0334522, 0.0432291, 0.0384157, 0.032, 0.0342232, 0.0256853, 0.0366411, 0.0376663, 0.0407995, 0.0263533, 0.0177435, 0.0127875, 0.0181542, 0.0296276, 0.0243033, 0.0226643, 0.027196, 0.022445, 0.0245615, 0.0472431, 0.0388266, 0.0288098, 0.0248932, 0.0338474, 0.0281283, 0.023023, 0.0300109, 0.0252415, 0.0310991, 0.034844
0.01, 0.0639375, 0.0290672, 0.0236212, 0.026079, 0.0228571, 0.0188883, 0.00870552, 0.011172, 0.017475, 0.0148255, 0.0161718, 0.0200678, 0.0171848, 0.0289614, 0.0431052, 0.0174834, 0.0192259, 0.0401694, 0.0370862, 0.0533302, 0.0245976, 0.0432125, 0.0640287, 0.0617922, 0.0473114, 0.047751, 0.0322679, 0.0529828, 0.0536786, 0.0424008, 0.019973, 0.0201019, 0.0135381, 0.0203426, 0.0376512, 0.0264121, 0.0199953, 0.0326396, 0.0260804, 0.0318701, 0.0656933, 0.0561506, 0.0405928, 0.0358247, 0.0451187, 0.0390247, 0.0257195, 0.0344501, 0.0265612, 0.032204, 0.0404237
0.02, 0.0639375, 0.0311135, 0.0247496, 0.0216848, 0.0232388, 0.0178929, 0.0114331, 0.0109715, 0.0175355, 0.0129015, 0.0173596, 0.019623, 0.0232039, 0.0288125, 0.0413025, 0.0163485, 0.0188363, 0.0354647, 0.0402955, 0.0557713, 0.0268157, 0.0393503, 0.0628938, 0.0761347, 0.048012, 0.0448873, 0.0316512, 0.0533784, 0.0528364, 0.0352307, 0.0147074, 0.0199619, 0.0133534, 0.0200791, 0.0342224, 0.0249653, 0.0214843, 0.0296192, 0.026401, 0.031526, 0.0627765, 0.0621803, 0.0458774, 0.0375295, 0.0446396, 0.0399491, 0.0271748, 0.0344925, 0.0255727, 0.0304093, 0.0414178
0.03, 0.0639375, 0.0256195, 0.0204202, 0.0149001, 0.0158551, 0.0125492, 0.0105658, 0.00871368, 0.0121409, 0.00978566, 0.0132417, 0.0167845, 0.0241587, 0.0207063, 0.0284427, 0.0166561, 0.024504, 0.0293642, 0.0347533, 0.0395051, 0.0221492, 0.0240264, 0.0404328, 0.0633145, 0.0317069, 0.0276373, 0.0242592, 0.0395132, 0.0390424, 0.0275559, 0.0162952, 0.0166389, 0.0135141, 0.0171989, 0.0230202, 0.018051, 0.0192271, 0.0187535, 0.0235834, 0.0262626, 0.0414695, 0.0492792, 0.0418449, 0.0285916, 0.0318839, 0.0301816, 0.0250767, 0.0323328, 0.0244621, 0.0270433, 0.0379459
0.04, 0.0639375, 0.0169479, 0.0141999, 0.00961471, 0.0122398, 0.0100962, 0.00662642, 0.00824441, 0.00574035, 0.00830151, 0.00871143, 0.0117933, 0.0204761, 0.0174526, 0.0170023, 0.0145989, 0.0237572, 0.017596, 0.0235189, 0.0207341, 0.0157035, 0.0112748, 0.0204617, 0.0355134, 0.0157056, 0.0160027, 0.0163464, 0.0213054, 0.0223626, 0.017553, 0.0160905, 0.0125058, 0.015308, 0.018758, 0.0199811, 0.0125129, 0.0151212, 0.0133412, 0.0229195, 0.0255487, 0.0249943, 0.0312775, 0.0327931, 0.0196475, 0.0185543, 0.0195671, 0.0224542, 0.0310524, 0.022634, 0.0257741, 0.0360332
0.05, 0.0639375, 0.0197622, 0.0120122, 0.00900044, 0.00924036, 0.0117925, 0.00490213, 0.0109687, 0.00436971, 0.00929398, 0.00629348, 0.00699748, 0.015636, 0.0168817, 0.0174405, 0.0110252, 0.015757, 0.00982756, 0.0132554, 0.0128189, 0.0111239, 0.00708034, 0.0139111, 0.0151578, 0.0134064, 0.0171207, 0.0143799, 0.0130547, 0.0172596, 0.0138486, 0.0132104, 0.0119976, 0.0173207, 0.01894, 0.0222687, 0.0116149, 0.0143614, 0.0151256, 0.0211264, 0.0284962, 0.0189524, 0.0239913, 0.0277667, 0.0174997, 0.0149128, 0.0158059, 0.0228932, 0.0299036, 0.0208939, 0.0248618, 0.034989
0.06, 0.0639375, 0.0213877, 0.0108907, 0.00983476, 0.00750472, 0.0126121, 0.00503308, 0.0124448, 0.0059481, 0.00847635, 0.00566804, 0.00667627, 0.0123102, 0.0158612, 0.0179054, 0.00880963, 0.00996567, 0.00982839, 0.00914646, 0.0105371, 0.00729942, 0.00652599, 0.0145014, 0.00951364, 0.0124187, 0.0184708, 0.0153193, 0.0130254, 0.0157396, 0.0131699, 0.0110976, 0.0112816, 0.015874, 0.0154954, 0.0216836, 0.0134464, 0.0148346, 0.0177212, 0.0202824, 0.0271054, 0.0182635, 0.0220742, 0.0238589, 0.0164467, 0.0135969, 0.0148204, 0.0242166, 0.0277236, 0.0210909, 0.0239682, 0.0376031
0.07, 0.0639375, 0.0165527, 0.0091865, 0.0112009, 0.00888903, 0.0115383, 0.00707561, 0.0126189, 0.0071013, 0.0079359, 0.0051913, 0.00833142, 0.0122117, 0.0150865, 0.0139981, 0.0091989, 0.0106717, 0.0113123, 0.00936709, 0.00951517, 0.00582474, 0.00689591, 0.0171797, 0.014652, 0.0122173, 0.0166987, 0.0136241, 0.0135417, 0.0170287, 0.0174151, 0.0112697, 0.0103375, 0.0146417, 0.0158499, 0.01909, 0.014849, 0.0147265, 0.0191629, 0.0232001, 0.0253456, 0.0219366, 0.0238107, 0.0238009, 0.0143497, 0.0119012, 0.0141215, 0.0222499, 0.0246371, 0.0223816, 0.026003, 0.040957
0.08, 0.0639375, 0.00942283, 0.00651521, 0.00926328, 0.00881105, 0.00910641, 0.00669569, 0.0103233, 0.00699488, 0.00727161, 0.00478777, 0.00783383, 0.0104197, 0.00995422, 0.010058, 0.0114438, 0.0115116, 0.0138859, 0.0110222, 0.0106421, 0.00658627, 0.01058, 0.0180284, 0.0193221, 0.0135274, 0.0131136, 0.0100539, 0.0129617, 0.0212519, 0.0262091, 0.0132463, 0.0113375, 0.0158003, 0.0189536, 0.0148023, 0.0151655, 0.0146849, 0.0185288, 0.0235063, 0.0220251, 0.0231658, 0.0271572, 0.0278064, 0.0138195, 0.011578, 0.015009, 0.0225262, 0.0231064, 0.0235714, 0.0263246, 0.041969
0.09, 0.0639375, 0.0133705, 0.0105989, 0.00895815, 0.0140606, 0.00969924, 0.00731575, 0.00639405, 0.0068019, 0.00708685, 0.00480189, 0.00751821, 0.00969901, 0.00738048, 0.00986132, 0.0140251, 0.0133039, 0.017821, 0.0144361, 0.0127248, 0.00907523, 0.0173299, 0.0167146, 0.0217422, 0.0146365, 0.0112645, 0.00923138, 0.0151397, 0.0269027, 0.0347477, 0.0189755, 0.014915, 0.0175413, 0.020387, 0.0123854, 0.0154373, 0.0147828, 0.0183298, 0.021253, 0.0196764, 0.0215395, 0.0269654, 0.0282018, 0.0150357, 0.0153195, 0.017464, 0.0249109, 0.024667, 0.0255926, 0.0265914, 0.0425713
