# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.039739, 0.0565618, 0.0490057, 0.0349948, 0.0323457, 0.0501078, 0.0275972, 0.0118981, 0.0202491, 0.0233593, 0.0210058, 0.0214787, 0.02146, 0.0254192, 0.03749, 0.0273457, 0.040961, 0.0262441, 0.0223523, 0.0267822, 0.0204491, 0.0239671, 0.0242391, 0.0373595, 0.029608, 0.023762, 0.0277384, 0.034583, 0.0277541, 0.0217813, 0.0203452, 0.030314, 0.029194, 0.0190142, 0.018592, 0.0170482, 0.0190194, 0.0182801, 0.0183135, 0.0141008, 0.0186823, 0.0155353, 0.021128, 0.0207761, 0.0152371, 0.0138016, 0.0122836, 0.013088, 0.0122537, 0.00952249
0.01, 0.0639375, 0.034611, 0.0417139, 0.0406897, 0.0325562, 0.0302161, 0.0379597, 0.0305767, 0.0174635, 0.0178224, 0.0214038, 0.0232199, 0.0247225, 0.0186279, 0.028466, 0.0364336, 0.0223907, 0.0337979, 0.0301351, 0.0254679, 0.027251, 0.0215523, 0.0239606, 0.017314, 0.0303159, 0.0308941, 0.0217782, 0.021945, 0.0315234, 0.0287207, 0.0211851, 0.0229448, 0.0273318, 0.027738, 0.0173914, 0.0208308, 0.0205461, 0.0193409, 0.0181291, 0.0173368, 0.0113403, 0.0176714, 0.0151779, 0.0190346, 0.0193671, 0.0140514, 0.0138571, 0.0150336, 0.0146198, 0.0126681, 0.00917433
0.02, 0.0639375, 0.0281509, 0.0239575, 0.0339637, 0.0340896, 0.0273271, 0.0364415, 0.0330429, 0.0183016, 0.0114671, 0.0152465, 0.0226487, 0.0229017, 0.0185108, 0.034485, 0.0266138, 0.0153433, 0.0303297, 0.036719, 0.0270435, 0.0284073, 0.0245576, 0.0250197, 0.015721, 0.0244384, 0.0276535, 0.0243789, 0.0220431, 0.0266787, 0.0268111, 0.022547, 0.0280583, 0.0284971, 0.0326243, 0.0163818, 0.019837, 0.0212476, 0.0169694, 0.0149149, 0.0153099, 0.0126165, 0.0180404, 0.014737, 0.0173862, 0.0172016, 0.0136522, 0.0145011, 0.0159035, 0.0149626, 0.0135603, 0.0107077
0.03, 0.0639375, 0.0180721, 0.0162808, 0.0319776, 0.0366732, 0.0281125, 0.0376512, 0.0347847, 0.0200194, 0.0122176, 0.0162349, 0.0227591, 0.0204457, 0.0237403, 0.0323064, 0.0193991, 0.0151737, 0.02966, 0.0451367, 0.0302401, 0.0322747, 0.0265782, 0.0268358, 0.0212876, 0.0268284, 0.0222866, 0.0265824, 0.0226036, 0.022783, 0.0249203, 0.0208746, 0.0312827, 0.0271729, 0.0338944, 0.0177167, 0.0178688, 0.0216439, 0.0148329, 0.0151076, 0.0153958, 0.0148402, 0.0190818, 0.0165811, 0.0181043, 0.0175757, 0.014654, 0.014661, 0.0140506, 0.012999, 0.0142984, 0.0113878
0.04, 0.0639375, 0.0164527, 0.0150172, 0.0257873, 0.0392616, 0.0327794, 0.0328479, 0.0308507, 0.0279098, 0.0215682, 0.0211233, 0.0273085, 0.023775, 0.0216693, 0.0286392, 0.0232332, 0.0193442, 0.0280593, 0.0448785, 0.0313316, 0.0284624, 0.0227266, 0.0253111, 0.0275763, 0.0269796, 0.0205247, 0.0300738, 0.0228377, 0.0211075, 0.0246419, 0.0232961, 0.031488, 0.0249396, 0.0348779, 0.0203652, 0.0148552, 0.0185265, 0.0146836, 0.0239099, 0.0175716, 0.0149387, 0.0183573, 0.0176966, 0.0181957, 0.0202187, 0.0143373, 0.0131639, 0.0110487, 0.0106118, 0.0143537, 0.0118377
0.05, 0.0639375, 0.0245388, 0.025437, 0.020118, 0.0357007, 0.0338834, 0.0308425, 0.0303082, 0.0315494, 0.0323245, 0.0302503, 0.0251211, 0.0203933, 0.0168195, 0.0277529, 0.0253216, 0.0197668, 0.0221672, 0.0367923, 0.0243442, 0.0227324, 0.0216661, 0.0251087, 0.0341313, 0.0268189, 0.0221122, 0.0352957, 0.0293206, 0.0252472, 0.0273695, 0.0240403, 0.028657, 0.0264234, 0.0336545, 0.0223338, 0.015103, 0.0150904, 0.018983, 0.0318989, 0.0198151, 0.0135867, 0.0158457, 0.0157497, 0.017633, 0.0207744, 0.0134898, 0.011941, 0.0106237, 0.0110999, 0.0144925, 0.0120459
0.06, 0.0639375, 0.0309654, 0.0386886, 0.0213601, 0.0298121, 0.0228679, 0.0239836, 0.0333061, 0.0268551, 0.0359176, 0.0389523, 0.027811, 0.022859, 0.0180158, 0.0250391, 0.0236566, 0.0182757, 0.0232662, 0.0273926, 0.0152835, 0.0168279, 0.0246957, 0.0295872, 0.0350893, 0.0277338, 0.0243935, 0.0369998, 0.0305106, 0.0272083, 0.0290295, 0.0215171, 0.0255377, 0.0288144, 0.0324713, 0.0242272, 0.0167855, 0.0156353, 0.0228609, 0.0306588, 0.0208111, 0.0142142, 0.014031, 0.0149727, 0.0168511, 0.0188318, 0.0137298, 0.0117205, 0.0115863, 0.0127951, 0.0135738, 0.0128968
0.07, 0.0639375, 0.0338725, 0.0395244, 0.0250728, 0.028439, 0.014308, 0.0291604, 0.0376778, 0.0241085, 0.0297236, 0.0419685, 0.0362442, 0.0286184, 0.0214168, 0.028875, 0.0217337, 0.0187184, 0.0277545, 0.0252885, 0.0178756, 0.0168149, 0.0273591, 0.0316165, 0.032625, 0.0308507, 0.026536, 0.0323515, 0.0255369, 0.0236212, 0.0294812, 0.023223, 0.0275646, 0.0268945, 0.0275278, 0.0238849, 0.0176277, 0.0174353, 0.0221248, 0.0228051, 0.0191512, 0.0173185, 0.017908, 0.0165803, 0.0153477, 0.0180098, 0.0146857, 0.0122409, 0.0130233, 0.014739, 0.0126307, 0.0129554
0.08, 0.0639375, 0.0330775, 0.0289818, 0.0243223, 0.0293953, 0.019952, 0.0394037, 0.040891, 0.0204019, 0.0228594, 0.0420026, 0.0369698, 0.0252906, 0.0232406, 0.029193, 0.0196552, 0.0163909, 0.0292313, 0.0267676, 0.0229561, 0.0185652, 0.0293694, 0.0341685, 0.0310659, 0.0355377, 0.0281503, 0.0245702, 0.0255011, 0.0222642, 0.0241028, 0.022863, 0.0254578, 0.022734, 0.026373, 0.0243454, 0.0189008, 0.0191041, 0.0227672, 0.0177262, 0.0178287, 0.0193903, 0.0204214, 0.0196819, 0.0159311, 0.0185657, 0.0156454, 0.0131036, 0.0141753, 0.0145051, 0.0120381, 0.0114667
0.09, 0.0639375, 0.0287482, 0.0227022, 0.0306467, 0.0303823, 0.0189738, 0.0404361, 0.0366067, 0.0161911, 0.01731, 0.0348268, 0.0311712, 0.018938, 0.0251815, 0.0217074, 0.019179, 0.013718, 0.0262274, 0.0218244, 0.0224649, 0.0177592, 0.0339088, 0.0347272, 0.0271637, 0.0352517, 0.031556, 0.0213975, 0.026935, 0.0216026, 0.0193496, 0.019923, 0.0221491, 0.0230354, 0.0280165, 0.0221434, 0.019873, 0.0188566, 0.0228575, 0.0163401, 0.0176046, 0.0196957, 0.019952, 0.0210904, 0.01572, 0.0188418, 0.0169932, 0.0133446, 0.0128047, 0.0131046, 0.0118972, 0.0107491
