# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.89631, 1.0999, 0.972468, 0.574877, 1.32866, 1.20977, 1.35049, 1.22831, 0.702989, 0.704461, 0.836666, 0.861093, 1.03, 0.911712, 1.11417, 1.19777, 1.46966, 1.53235, 1.56514, 1.50033, 1.1893, 1.30967, 1.18784, 1.06047, 1.37901, 1.18871, 1.0749, 1.36394, 1.36126, 1.57941, 1.35322, 1.41203, 1.47912, 1.07829, 1.26815, 1.35125, 1.28697, 1.30827, 1.22118, 1.3808, 1.70396, 1.93627, 2.28024, 2.87612, 2.82358, 2.01857, 1.53526, 1.39449, 1.45277, 1.29914
0.01, 0.0639375, 0.798082, 0.814634, 0.951617, 0.626234, 1.31249, 1.12076, 1.23697, 1.29003, 0.580858, 0.678293, 0.839007, 0.938378, 1.16432, 1.14933, 1.26929, 1.24756, 1.45882, 1.44555, 1.54022, 1.48595, 1.23091, 1.35354, 1.23596, 1.22333, 1.2443, 1.08201, 1.09893, 1.3251, 1.30719, 1.64049, 1.3213, 1.49385, 1.31741, 1.144, 1.24576, 1.30925, 1.30587, 1.27665, 1.17325, 1.38943, 1.59228, 1.90363, 2.41407, 2.90764, 2.7109, 2.13105, 1.58892, 1.36159, 1.46025, 1.39864
0.02, 0.0639375, 0.94001, 0.920146, 0.894369, 0.636008, 1.14669, 0.94284, 1.31367, 1.2097, 0.701464, 0.703477, 0.705972, 0.825778, 1.07428, 1.17263, 1.28403, 1.34554, 1.40326, 1.43354, 1.36412, 1.34123, 1.22111, 1.20656, 1.29048, 1.35338, 1.13085, 1.0602, 1.09307, 1.2391, 1.27751, 1.65872, 1.3631, 1.45414, 1.19975, 1.1872, 1.44829, 1.39553, 1.36724, 1.2693, 1.21711, 1.40189, 1.62183, 1.92563, 2.44584, 2.80997, 2.56081, 2.17317, 1.65123, 1.30604, 1.38686, 1.44967
0.03, 0.0639375, 1.1115, 1.06426, 1.06537, 0.647035, 1.14608, 0.953474, 1.25388, 1.05672, 0.80023, 0.666825, 0.461048, 0.920051, 1.06244, 0.976756, 1.15636, 1.39691, 1.39584, 1.40057, 1.32574, 1.17482, 1.18578, 1.29803, 1.30406, 1.41983, 1.12749, 1.12143, 1.0702, 1.24057, 1.23472, 1.59279, 1.34809, 1.33978, 1.16381, 1.249, 1.6036, 1.52471, 1.42793, 1.14686, 1.18742, 1.35443, 1.74645, 1.95537, 2.41736, 2.77139, 2.56627, 2.11658, 1.75851, 1.27993, 1.30676, 1.42447
0.04, 0.0639375, 1.1672, 1.24683, 1.14882, 0.604392, 1.18957, 0.910957, 1.12522, 1.12345, 0.930939, 0.73959, 0.445017, 1.04453, 1.13694, 0.932489, 1.12975, 1.41702, 1.39897, 1.38038, 1.37321, 0.988949, 1.30875, 1.48848, 1.36144, 1.3576, 1.15093, 1.18353, 1.10829, 1.23164, 1.20702, 1.40481, 1.24039, 1.26776, 1.3133, 1.35409, 1.60749, 1.56454, 1.38056, 1.07949, 1.15322, 1.458, 1.88493, 1.94894, 2.3906, 2.86536, 2.71577, 2.098, 1.79434, 1.40073, 1.3051, 1.32761
0.05, 0.0639375, 1.00207, 1.22881, 1.18131, 0.727758, 1.1409, 0.873172, 0.992066, 1.08623, 1.04302, 0.940207, 0.600288, 1.0074, 1.15809, 1.12141, 1.25278, 1.31043, 1.40843, 1.49153, 1.37877, 1.10626, 1.34888, 1.5214, 1.48025, 1.28144, 1.09514, 1.26064, 1.28703, 1.12111, 1.09237, 1.15606, 1.17499, 1.18716, 1.42601, 1.35118, 1.61305, 1.57788, 1.20072, 1.17922, 1.11822, 1.57075, 1.89513, 1.89419, 2.42286, 2.96394, 2.7519, 2.07105, 1.74367, 1.47224, 1.3108, 1.3156
0.06, 0.0639375, 0.902651, 1.1903, 1.26112, 0.910823, 1.02934, 0.894476, 0.961807, 1.04664, 0.993556, 0.997099, 0.677976, 0.881903, 1.17867, 1.20746, 1.26082, 1.16358, 1.35038, 1.34488, 1.24254, 1.38726, 1.57261, 1.6082, 1.41707, 1.18871, 1.0627, 1.24818, 1.44827, 1.12227, 1.02197, 1.02031, 1.1095, 1.12471, 1.43877, 1.31796, 1.52642, 1.51753, 1.11716, 1.22958, 0.987286, 1.56012, 1.76129, 1.83643, 2.43107, 3.00751, 2.71155, 2.1448, 1.81232, 1.40916, 1.29673, 1.3179
0.07, 0.0639375, 1.03681, 1.33713, 1.21927, 0.917332, 0.872453, 0.856679, 1.03596, 0.946981, 0.872124, 0.894117, 0.781268, 0.918467, 1.16896, 1.06953, 1.12796, 1.11283, 1.2114, 1.22876, 1.2688, 1.58221, 1.89288, 1.64836, 1.18015, 1.20741, 1.13813, 1.21579, 1.41234, 1.18975, 0.965903, 1.07225, 1.10188, 1.11196, 1.33702, 1.3349, 1.459, 1.41782, 1.23259, 1.23045, 0.928267, 1.52625, 1.66052, 1.85936, 2.30899, 2.92475, 2.67631, 2.30929, 1.90408, 1.43966, 1.27609, 1.24652
0.08, 0.0639375, 1.19094, 1.5559, 1.06932, 0.835727, 0.844249, 0.679711, 1.26133, 1.01053, 0.984702, 0.948313, 0.876612, 0.976254, 1.20735, 0.922011, 1.14249, 1.3408, 1.36734, 1.36541, 1.24358, 1.60912, 1.95798, 1.50496, 1.14895, 1.28543, 1.42182, 1.24077, 1.25334, 1.24321, 1.00325, 1.25865, 1.14534, 1.12992, 1.28426, 1.247, 1.36759, 1.2742, 1.31332, 1.16403, 0.988996, 1.40508, 1.54276, 1.84004, 2.26262, 2.75195, 2.55806, 2.29935, 1.97579, 1.50693, 1.2161, 1.24361
0.09, 0.0639375, 1.15132, 1.68059, 1.19493, 0.914132, 0.900175, 0.545774, 1.32932, 1.0667, 1.12885, 0.978148, 0.935644, 1.00104, 1.19086, 1.03248, 1.31102, 1.57666, 1.54314, 1.43698, 1.10466, 1.462, 1.75007, 1.32936, 1.43012, 1.35859, 1.61574, 1.39597, 1.22229, 1.28003, 1.09014, 1.50671, 1.36748, 1.17237, 1.28564, 1.17689, 1.38822, 1.27298, 1.2925, 1.1224, 1.14265, 1.44649, 1.54781, 1.8525, 2.28293, 2.6083, 2.42444, 2.17142, 1.98578, 1.555, 1.26759, 1.26072
