# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.992871, 2.54713, 1.55332, 0.617101, 0.537245, 0.767949, 0.451733, 0.610481, 0.596935, 0.540752, 0.655311, 0.778102, 1.12184, 1.36821, 1.08497, 1.00839, 0.827829, 0.807925, 0.873788, 1.0607, 0.814768, 0.757799, 0.760008, 0.806482, 0.649598, 0.561207, 0.758997, 0.998566, 1.08443, 0.752156, 0.636198, 0.470724, 0.528652, 0.642156, 0.700028, 0.720806, 0.642118, 0.867118, 1.15992, 1.1834, 1.02868, 0.907919, 1.44414, 1.69775, 1.6968, 1.2585, 0.70396, 0.736709, 0.635684, 0.604669
0.01, 0.0639375, 0.652659, 2.42048, 1.87992, 0.651099, 0.458202, 0.831392, 0.59602, 0.559848, 0.584786, 0.651705, 0.648998, 0.848591, 0.996768, 1.12769, 1.09572, 0.798125, 0.645825, 0.758995, 0.911548, 1.13167, 0.917515, 0.986661, 0.725968, 0.81886, 0.721485, 0.620514, 0.727565, 0.877746, 1.12156, 0.841082, 0.623669, 0.468723, 0.665433, 0.678478, 0.690506, 0.73539, 0.724301, 0.791338, 1.12909, 1.35018, 1.03243, 0.985166, 1.65803, 1.79372, 1.79361, 1.37902, 0.779005, 0.808599, 0.67556, 0.598173
0.02, 0.0639375, 0.339016, 2.14202, 2.10024, 0.733064, 0.468262, 0.843853, 0.785924, 0.507327, 0.708195, 0.661081, 0.619786, 0.78818, 0.941376, 0.967933, 1.02483, 0.657138, 0.675917, 0.718316, 0.956769, 1.17431, 1.06302, 1.15928, 0.744052, 0.810796, 0.833461, 0.64423, 0.6478, 0.844182, 1.01545, 0.988477, 0.758194, 0.479353, 0.742403, 0.643022, 0.697596, 0.750029, 0.727537, 0.768859, 1.03932, 1.38826, 1.09532, 1.01664, 1.72736, 1.94235, 1.80986, 1.38284, 0.875253, 0.850761, 0.700402, 0.674841
0.03, 0.0639375, 0.292412, 1.75276, 2.24839, 0.746203, 0.488081, 0.905845, 1.00446, 0.610247, 0.695063, 0.619386, 0.561061, 0.663688, 0.942144, 1.04596, 0.878614, 0.671263, 0.78416, 0.742818, 0.926461, 1.09863, 1.15077, 1.22071, 0.766159, 0.836342, 0.913209, 0.781843, 0.661138, 0.859341, 0.877901, 1.07227, 0.905156, 0.574428, 0.73259, 0.605524, 0.68218, 0.78748, 0.691978, 0.776917, 0.91833, 1.31965, 1.21541, 1.06518, 1.67605, 1.96833, 1.71914, 1.30227, 0.933588, 0.923393, 0.780588, 0.729701
0.04, 0.0639375, 0.293342, 1.37269, 2.34764, 0.710016, 0.501192, 1.03863, 1.08032, 0.604042, 0.637272, 0.623974, 0.532063, 0.474675, 0.86535, 1.08183, 0.755133, 0.706861, 0.761109, 0.840401, 1.01185, 1.17913, 1.06743, 1.11917, 0.790527, 0.757895, 0.953452, 0.82542, 0.778299, 0.819188, 0.753106, 0.996159, 1.01918, 0.704868, 0.658454, 0.617159, 0.65553, 0.737771, 0.73668, 0.874559, 0.878033, 1.20236, 1.32224, 1.21147, 1.71362, 2.03233, 1.67282, 1.22608, 0.949237, 0.937685, 0.827558, 0.747538
0.05, 0.0639375, 0.313586, 1.07556, 2.39749, 0.843188, 0.418915, 0.990673, 0.934676, 0.467505, 0.559412, 0.660803, 0.518401, 0.441647, 0.910263, 1.04693, 0.719007, 0.681589, 0.742985, 1.00879, 1.13253, 1.24458, 1.0306, 1.05427, 0.826831, 0.750203, 0.975545, 0.79448, 0.828777, 0.773688, 0.743912, 0.846998, 1.04946, 0.778373, 0.743902, 0.698832, 0.614381, 0.675338, 0.743445, 0.923462, 0.876788, 1.04302, 1.42191, 1.50427, 1.81825, 2.20189, 1.80253, 1.20142, 0.93053, 0.941699, 0.792939, 0.777817
0.06, 0.0639375, 0.361546, 0.88335, 2.37141, 1.1036, 0.336621, 0.809032, 0.999596, 0.459444, 0.582539, 0.703673, 0.545375, 0.548463, 1.01176, 1.01834, 0.863609, 0.793434, 0.884485, 1.05933, 1.1009, 1.17629, 1.18224, 1.05662, 0.886594, 0.867406, 0.977577, 0.819543, 0.831258, 0.805481, 0.819683, 0.726593, 1.05776, 0.822705, 0.819366, 0.745457, 0.596351, 0.629252, 0.71567, 0.943979, 0.845785, 0.924907, 1.42609, 1.70528, 1.85026, 2.29301, 1.89512, 1.2792, 0.96355, 1.06307, 0.789877, 0.773022
0.07, 0.0639375, 0.319737, 0.724169, 2.32438, 1.35809, 0.29589, 0.715852, 1.0099, 0.557394, 0.718655, 0.687813, 0.537079, 0.612508, 1.12398, 1.03761, 1.07703, 1.07459, 1.03943, 1.02008, 0.979329, 1.02084, 1.18575, 1.0162, 0.994512, 0.978724, 1.00536, 0.901904, 0.807008, 0.763643, 0.827962, 0.605537, 1.14547, 0.953778, 0.822116, 0.734406, 0.650183, 0.647079, 0.668427, 0.872214, 0.826254, 0.923361, 1.33954, 1.72897, 1.8475, 2.31019, 1.96607, 1.37528, 1.05291, 1.10594, 0.77949, 0.726014
0.08, 0.0639375, 0.332164, 0.643117, 2.26775, 1.60184, 0.388952, 0.638312, 0.829986, 0.641942, 0.908373, 0.802962, 0.620516, 0.608319, 1.09782, 0.982652, 1.14319, 1.2604, 1.20023, 1.03512, 0.966442, 0.84821, 1.0789, 0.992876, 1.0288, 1.0359, 1.02605, 0.955508, 0.877935, 0.816579, 0.78231, 0.600252, 1.17744, 1.07667, 0.808223, 0.776818, 0.746226, 0.725805, 0.788106, 0.83054, 0.903423, 1.06095, 1.31045, 1.68777, 1.8287, 2.21653, 2.06933, 1.41917, 1.06005, 1.06279, 0.841291, 0.689877
0.09, 0.0639375, 0.534965, 0.684905, 2.18888, 1.86625, 0.542796, 0.601391, 0.702519, 0.65723, 0.944032, 0.863244, 0.584675, 0.690916, 1.01336, 1.09701, 1.10625, 1.33678, 1.18559, 1.08633, 1.03296, 0.858928, 1.07691, 1.12321, 1.04933, 1.02986, 0.98406, 0.930624, 0.96674, 1.01308, 0.834167, 0.582996, 1.05044, 1.14108, 0.810107, 0.857346, 0.864957, 0.815451, 0.954994, 0.830229, 0.952482, 1.10337, 1.30533, 1.72679, 1.8627, 2.13193, 2.09637, 1.50596, 0.97986, 0.976837, 0.991322, 0.76457
