# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0, 0.0639375, 0.584637, 0.425502, 0.503318, 0.658527, 2.83698, 1.84589, 0.904354, 0.768117, 0.969426, 1.13006, 0.738015, 0.693401, 1.27778, 1.25203, 0.867359, 1.13815, 1.10952, 1.24696, 1.23848, 1.12175, 1.32146, 1.2475, 1.50997, 1.08482, 1.17385, 1.32812, 1.19753, 1.27125, 1.52717, 1.48146, 1.11178, 1.41108, 1.60162, 1.32244, 1.44027, 1.44522, 1.56739, 1.41602, 1.43995, 1.32446, 1.57553, 1.54017, 1.80842, 1.97904, 2.34903, 2.04753, 1.51056, 1.44797, 1.39521, 1.36039
0.01, 0.0639375, 0.496349, 0.439423, 0.644305, 0.742524, 2.84959, 1.77697, 0.767606, 0.834414, 1.05819, 1.227, 0.744307, 0.730157, 1.36568, 1.16931, 1.03261, 1.20278, 1.14097, 1.16855, 1.37178, 1.28303, 1.36528, 1.20887, 1.51081, 1.10849, 1.21856, 1.31258, 1.28186, 1.22772, 1.52745, 1.43484, 1.14294, 1.34442, 1.45113, 1.20735, 1.4769, 1.39046, 1.55731, 1.34419, 1.36024, 1.33913, 1.46185, 1.51842, 1.74788, 1.78084, 2.2193, 1.97837, 1.6556, 1.50022, 1.44736, 1.28964
0.02, 0.0639375, 0.498127, 0.630926, 0.71604, 0.709227, 2.86511, 1.78834, 0.760532, 0.85936, 1.01932, 1.09407, 0.750396, 0.893372, 1.21993, 1.00863, 1.02403, 1.22064, 1.46476, 1.26809, 1.53416, 1.55783, 1.32669, 1.08459, 1.42115, 1.09747, 1.14444, 1.24679, 1.29816, 1.295, 1.57325, 1.42846, 1.11825, 1.37773, 1.32824, 1.12165, 1.45729, 1.29709, 1.45538, 1.31292, 1.28197, 1.39298, 1.43243, 1.62577, 1.85466, 1.77003, 2.10092, 1.9404, 1.77131, 1.62649, 1.49103, 1.43954
0.03, 0.0639375, 0.532051, 0.751575, 0.631589, 0.499566, 2.85151, 1.81097, 0.981033, 0.879881, 0.868614, 0.878082, 0.716114, 0.901863, 0.996517, 0.920668, 0.881956, 1.24912, 1.53645, 1.47754, 1.728, 1.79073, 1.40063, 1.31394, 1.42703, 1.05961, 1.14507, 1.29398, 1.32105, 1.46947, 1.61579, 1.57246, 1.1068, 1.41131, 1.38254, 1.10867, 1.43689, 1.20446, 1.34284, 1.34863, 1.28882, 1.40755, 1.4789, 1.70507, 1.95153, 1.90846, 2.15654, 1.93042, 1.71159, 1.67977, 1.45637, 1.54687
0.04, 0.0639375, 0.52979, 0.668081, 0.617212, 0.534131, 2.83432, 1.79463, 1.08723, 0.882228, 0.69732, 0.746564, 0.615769, 0.770576, 1.03674, 0.970859, 0.978377, 1.38354, 1.35694, 1.53953, 1.77126, 1.88605, 1.3739, 1.41833, 1.44115, 1.11508, 1.2294, 1.28992, 1.35266, 1.55041, 1.61063, 1.64865, 1.2039, 1.37456, 1.41421, 1.13481, 1.47675, 1.23039, 1.25041, 1.31622, 1.33706, 1.41891, 1.52613, 1.72449, 1.93775, 2.11007, 2.2053, 1.97503, 1.61786, 1.57311, 1.43481, 1.6071
0.05, 0.0639375, 0.409086, 0.649651, 0.644806, 0.644068, 2.84995, 1.81714, 1.09457, 0.774006, 0.915293, 0.711351, 0.452742, 0.66371, 1.08416, 1.0062, 1.06703, 1.37976, 1.20187, 1.4809, 1.58331, 1.82043, 1.25299, 1.26104, 1.36656, 1.17915, 1.2951, 1.07279, 1.23864, 1.53775, 1.54688, 1.55189, 1.31075, 1.44798, 1.38746, 1.24684, 1.49435, 1.38791, 1.27699, 1.25341, 1.34258, 1.36767, 1.56083, 1.74729, 1.86607, 2.14288, 2.1453, 2.08504, 1.6257, 1.3969, 1.45913, 1.58382
0.06, 0.0639375, 0.356042, 0.627265, 0.531301, 0.765189, 2.87731, 1.90578, 1.08075, 0.704195, 1.07505, 0.783091, 0.467142, 0.680895, 1.12357, 1.14132, 1.04344, 1.2003, 1.09792, 1.23246, 1.487, 1.71986, 1.19844, 1.10627, 1.23617, 1.20866, 1.22903, 0.893167, 1.06719, 1.48795, 1.5117, 1.3807, 1.31944, 1.56752, 1.34898, 1.30577, 1.45033, 1.5351, 1.32288, 1.31202, 1.36808, 1.41444, 1.58176, 1.68093, 1.80944, 2.12211, 2.06486, 2.09926, 1.67412, 1.41778, 1.4332, 1.42353
0.07, 0.0639375, 0.430664, 0.621232, 0.479248, 0.776503, 2.8634, 1.9396, 1.0201, 0.681668, 1.02409, 0.791161, 0.515667, 0.740124, 1.2937, 1.20715, 0.913893, 0.988394, 1.0973, 1.10609, 1.46512, 1.49146, 1.30185, 1.15823, 1.19224, 1.18649, 1.20679, 1.11071, 1.01222, 1.34072, 1.48494, 1.29027, 1.31422, 1.53791, 1.31827, 1.34799, 1.40667, 1.64184, 1.46778, 1.39343, 1.4121, 1.45943, 1.49822, 1.56736, 1.9011, 2.30883, 2.07388, 2.00966, 1.66925, 1.50116, 1.42616, 1.33237
0.08, 0.0639375, 0.515363, 0.717352, 0.554872, 0.748024, 2.82228, 1.92076, 0.86797, 0.697451, 0.787616, 0.718101, 0.667229, 0.859579, 1.32091, 1.13103, 0.85229, 0.994697, 1.2097, 1.22104, 1.49245, 1.3214, 1.56183, 1.15251, 1.10407, 1.10185, 1.31311, 1.33388, 1.05954, 1.23888, 1.42188, 1.27136, 1.26234, 1.51008, 1.35795, 1.34727, 1.45627, 1.6539, 1.62426, 1.45351, 1.36846, 1.43175, 1.37647, 1.49423, 1.97016, 2.47953, 2.05307, 1.86391, 1.64573, 1.50259, 1.34958, 1.34452
0.09, 0.0639375, 0.593766, 0.88106, 0.551102, 0.830887, 2.83696, 1.92365, 1.11875, 0.710182, 0.641899, 0.772351, 0.747583, 0.989876, 1.14085, 0.966096, 0.812651, 0.907263, 1.44214, 1.3431, 1.64199, 1.34471, 1.68013, 1.25544, 1.31101, 1.24146, 1.44198, 1.44906, 1.08586, 1.25937, 1.35436, 1.21153, 1.23105, 1.441, 1.40385, 1.28641, 1.51704, 1.61141, 1.60616, 1.43316, 1.32459, 1.40186, 1.37055, 1.4399, 1.98566, 2.48482, 2.035, 1.80706, 1.64971, 1.40338, 1.29558, 1.37946
