Time (seconds),Length,f0
0,0.25,478.4500427246094
0.015625,0.25,478.4490661621094
0.03125,0.25,478.4494934082031
0.046875,0.25,478.4501037597656
0.0625,0.25,478.450927734375
0.078125,0.25,478.45172119140625
0.09375,0.25,478.45074462890625
0.109375,0.25,478.4505310058594
0.125,0.25,478.4505920410156
0.140625,0.25,478.4516296386719
0.15625,0.25,478.4523620605469
0.171875,0.25,478.4526062011719
0.1875,0.25,478.45294189453125
0.203125,0.25,478.4537658691406
0.21875,0.25,478.4532165527344
0.234375,0.25,478.45318603515625
0.25,0.25,478.4530029296875
0.265625,0.25,478.45306396484375
0.28125,0.25,478.4530334472656
0.296875,0.25,478.4525146484375
0.3125,0.25,478.451904296875
0.328125,0.25,478.4518737792969
0.34375,0.25,478.452880859375
0.359375,0.25,478.4530029296875
0.375,0.25,478.453125
0.390625,0.25,478.4515380859375
0.40625,0.25,478.45184326171875
0.421875,0.25,478.45172119140625
0.4375,0.25,478.45159912109375
0.453125,0.25,478.4512023925781
0.46875,0.25,478.4510192871094
0.484375,0.25,478.4513854980469
0.5,0.25,478.4523010253906
0.515625,0.25,478.45294189453125
0.53125,0.25,478.4529113769531
0.546875,0.25,478.4527893066406
0.5625,0.25,478.45343017578125
0.578125,0.25,478.45355224609375
0.59375,0.25,478.45391845703125
0.609375,0.25,478.4544372558594
0.625,0.25,478.4540710449219
0.640625,0.25,478.4544982910156
0.65625,0.25,478.4538879394531
0.671875,0.25,478.4537353515625
0.6875,0.25,478.4537658691406
0.703125,0.25,478.4532470703125
0.71875,0.25,478.45355224609375
0.734375,0.25,478.45281982421875
0.75,0.25,478.4518127441406
0.765625,0.25,478.4515686035156
0.78125,0.25,478.4519348144531
0.796875,0.25,478.45263671875
0.8125,0.25,478.4521789550781
0.828125,0.25,478.4519958496094
0.84375,0.25,478.45184326171875
0.859375,0.25,478.4517822265625
0.875,0.25,478.4521789550781
0.890625,0.25,478.4528503417969
0.90625,0.25,478.453125
0.921875,0.25,478.45306396484375
0.9375,0.25,478.4534912109375
0.953125,0.25,478.4536437988281
0.96875,0.25,478.4539489746094
0.984375,0.25,478.45477294921875
1,0.25,478.45556640625
1.015625,0.25,478.4555969238281
1.03125,0.25,478.4554443359375
1.046875,0.25,478.45550537109375
1.0625,0.25,478.45587158203125
1.078125,0.25,478.45623779296875
1.09375,0.25,478.45654296875
1.109375,0.25,478.4570007324219
1.125,0.25,478.4570007324219
1.140625,0.25,478.4571838378906
1.15625,0.25,478.45684814453125
1.171875,0.25,478.45721435546875
1.1875,0.25,478.4570007324219
1.203125,0.25,478.4573669433594
1.21875,0.25,478.4573059082031
1.234375,0.25,478.45751953125
1.25,0.25,478.4580078125
1.265625,0.25,478.45806884765625
1.28125,0.25,478.4584655761719
1.296875,0.25,478.4588317871094
1.3125,0.25,478.4589538574219
1.328125,0.25,478.4587707519531
1.34375,0.25,478.4590759277344
1.359375,0.25,478.45880126953125
1.375,0.25,478.458984375
1.390625,0.25,478.45849609375
1.40625,0.25,478.4591369628906
1.421875,0.25,478.4592590332031
1.4375,0.25,478.45916748046875
1.453125,0.25,478.459716796875
1.46875,0.25,478.4598693847656
1.484375,0.25,478.4603576660156
1.5,0.25,478.4601135253906
1.515625,0.25,478.46038818359375
1.53125,0.25,478.4602355957031
1.546875,0.25,478.45953369140625
1.5625,0.25,478.45941162109375
1.578125,0.25,478.45965576171875
1.59375,0.25,478.45941162109375
1.609375,0.25,478.459716796875
1.625,0.25,478.4601135253906
1.640625,0.25,478.46026611328125
1.65625,0.25,478.4599914550781
1.671875,0.25,478.46051025390625
1.6875,0.25,478.4599304199219
1.703125,0.25,478.4599609375
1.71875,0.25,478.4598693847656
1.734375,0.25,478.45947265625
1.75,0.25,478.458984375
1.765625,0.25,478.4584655761719
1.78125,0.25,478.4585266113281
1.796875,0.25,478.4591064453125
1.8125,0.25,478.4593505859375
1.828125,0.25,478.4596252441406
1.84375,0.25,478.4599914550781
1.859375,0.25,478.45928955078125
1.875,0.25,478.4589538574219
1.890625,0.25,478.4593505859375
1.90625,0.25,478.45977783203125
1.921875,0.25,478.4597473144531
1.9375,0.25,478.46087646484375
1.953125,0.25,478.46038818359375
1.96875,0.25,478.4607238769531
1.984375,0.25,478.4611511230469
2,0.25,478.461669921875
2.015625,0.25,478.4618225097656
2.03125,0.25,478.4615783691406
2.046875,0.25,478.46185302734375
2.0625,0.25,478.4620361328125
2.078125,0.25,478.46234130859375
2.09375,0.25,478.461669921875
2.109375,0.25,478.46258544921875
2.125,0.25,478.4626159667969
2.140625,0.25,478.4624328613281
2.15625,0.25,478.4624328613281
2.171875,0.25,478.4617004394531
2.1875,0.25,478.4618225097656
2.203125,0.25,478.4622497558594
2.21875,0.25,478.4626770019531
2.234375,0.25,478.46173095703125
2.25,0.25,478.4617919921875
2.265625,0.25,478.4619140625
2.28125,0.25,478.4627685546875
2.296875,0.25,478.46197509765625
2.3125,0.25,478.4620361328125
2.328125,0.25,478.46124267578125
2.34375,0.25,478.4613342285156
2.359375,0.25,478.4608154296875
2.375,0.25,478.4613037109375
2.390625,0.25,478.4617614746094
2.40625,0.25,478.4614562988281
2.421875,0.25,478.4624328613281
2.4375,0.25,478.4623718261719
2.453125,0.25,478.462646484375
2.46875,0.25,478.4623107910156
2.484375,0.25,478.4626159667969
2.5,0.25,478.46282958984375
2.515625,0.25,478.4632263183594
2.53125,0.25,478.4634094238281
2.546875,0.25,478.4636535644531
2.5625,0.25,478.463134765625
2.578125,0.25,478.46343994140625
2.59375,0.25,478.4637451171875
2.609375,0.25,478.4637451171875
2.625,0.25,478.4635925292969
2.640625,0.25,478.46307373046875
2.65625,0.25,478.4630432128906
2.671875,0.25,478.46240234375
2.6875,0.25,478.4617919921875
2.703125,0.25,478.461669921875
2.71875,0.25,478.4620666503906
2.734375,0.25,478.46234130859375
2.75,0.25,478.46197509765625
2.765625,0.25,478.461669921875
2.78125,0.25,478.4617919921875
2.796875,0.25,478.462158203125
2.8125,0.25,478.4624938964844
2.828125,0.25,478.4625549316406
2.84375,0.25,478.4627380371094
2.859375,0.25,478.46282958984375
2.875,0.25,478.46209716796875
2.890625,0.25,478.46246337890625
2.90625,0.25,478.46221923828125
2.921875,0.25,478.4621887207031
2.9375,0.25,478.4627685546875
2.953125,0.25,478.4630126953125
2.96875,0.25,478.46197509765625
2.984375,0.25,478.4624328613281
3,0.25,478.46221923828125
3.015625,0.25,478.46160888671875
3.03125,0.25,478.4606628417969
3.046875,0.25,478.460693359375
3.0625,0.25,478.46075439453125
3.078125,0.25,478.46038818359375
3.09375,0.25,478.4598693847656
3.109375,0.25,478.45965576171875
3.125,0.25,478.4602355957031
3.140625,0.25,478.4604187011719
3.15625,0.25,478.4607238769531
3.171875,0.25,478.46087646484375
3.1875,0.25,478.4602355957031
3.203125,0.25,478.4606628417969
3.21875,0.25,478.46075439453125
3.234375,0.25,478.46026611328125
3.25,0.25,478.46112060546875
3.265625,0.25,478.4614562988281
3.28125,0.25,478.46142578125
3.296875,0.25,478.4614562988281
3.3125,0.25,478.4619445800781
3.328125,0.25,478.4631652832031
3.34375,0.25,478.46405029296875
3.359375,0.25,478.4649963378906
3.375,0.25,478.4652099609375
3.390625,0.25,478.46490478515625
3.40625,0.25,478.4649353027344
3.421875,0.25,478.46466064453125
3.4375,0.25,478.4654541015625
3.453125,0.25,478.4647521972656
3.46875,0.25,478.46466064453125
3.484375,0.25,478.4642639160156
3.5,0.25,478.4639587402344
3.515625,0.25,478.4637145996094
3.53125,0.25,478.46417236328125
3.546875,0.25,478.464111328125
3.5625,0.25,478.4632873535156
3.578125,0.25,478.4632263183594
3.59375,0.25,478.46270751953125
3.609375,0.25,478.4619140625
3.625,0.25,478.4617919921875
3.640625,0.25,478.46197509765625
3.65625,0.25,478.4625549316406
3.671875,0.25,478.4629211425781
3.6875,0.25,478.462646484375
3.703125,0.25,478.4627380371094
3.71875,0.25,478.4639587402344
3.734375,0.25,478.4642028808594
3.75,0.25,478.4644470214844
3.765625,0.25,478.46527099609375
3.78125,0.25,478.4647216796875
3.796875,0.25,478.46484375
3.8125,0.25,478.46527099609375
3.828125,0.25,478.4649353027344
3.84375,0.25,478.4645690917969
3.859375,0.25,478.4649658203125
3.875,0.25,478.4651184082031
3.890625,0.25,478.4646911621094
3.90625,0.25,478.4649353027344
3.921875,0.25,478.46478271484375
3.9375,0.25,478.4654846191406
3.953125,0.25,478.4652404785156
3.96875,0.25,478.4642028808594
3.984375,0.25,478.46453857421875
4,0.25,478.4644470214844
4.015625,0.25,478.4642028808594
4.03125,0.25,478.4644470214844
4.046875,0.25,478.4644775390625
4.0625,0.25,478.46466064453125
4.078125,0.25,478.4646911621094
4.09375,0.25,478.46533203125
4.109375,0.25,478.46533203125
4.125,0.25,478.4656982421875
4.140625,0.25,478.4661560058594
4.15625,0.25,478.4654846191406
4.171875,0.25,478.4664001464844
4.1875,0.25,478.46588134765625
4.203125,0.25,478.4657897949219
4.21875,0.25,478.46636962890625
4.234375,0.25,478.4659729003906
4.25,0.25,478.4656066894531
4.265625,0.25,478.4659423828125
4.28125,0.25,478.4661560058594
4.296875,0.25,478.46600341796875
4.3125,0.25,478.46563720703125
4.328125,0.25,478.4660339355469
4.34375,0.25,478.4665222167969
4.359375,0.25,478.4667663574219
4.375,0.25,478.46673583984375
4.390625,0.25,478.4672546386719
4.40625,0.25,478.4671936035156
4.421875,0.25,478.4674377441406
4.4375,0.25,478.4670715332031
4.453125,0.25,478.4676818847656
4.46875,0.25,478.4678649902344
4.484375,0.25,478.468505859375
4.5,0.25,478.4684143066406
4.515625,0.25,478.46826171875
4.53125,0.25,478.4686279296875
4.546875,0.25,478.46905517578125
4.5625,0.25,478.4696044921875
4.578125,0.25,478.4696044921875
4.59375,0.25,478.4697265625
4.609375,0.25,478.47003173828125
4.625,0.25,478.4700012207031
4.640625,0.25,478.4695129394531
4.65625,0.25,478.4697570800781
4.671875,0.25,478.4693908691406
4.6875,0.25,478.46990966796875
