Time (seconds),Length,f0
0,0.25,477.68115234375
0.015625,0.25,477.6796875
0.03125,0.25,477.6794738769531
0.046875,0.25,477.67974853515625
0.0625,0.25,477.67938232421875
0.078125,0.25,477.6797790527344
0.09375,0.25,477.67962646484375
0.109375,0.25,477.6791076660156
0.125,0.25,477.6791687011719
0.140625,0.25,477.6793212890625
0.15625,0.25,477.67913818359375
0.171875,0.25,477.67889404296875
0.1875,0.25,477.6787109375
0.203125,0.25,477.6793518066406
0.21875,0.25,477.6796875
0.234375,0.25,477.6795654296875
0.25,0.25,477.679443359375
0.265625,0.25,477.67999267578125
0.28125,0.25,477.67987060546875
0.296875,0.25,477.679443359375
0.3125,0.25,477.6793518066406
0.328125,0.25,477.6789855957031
0.34375,0.25,477.67938232421875
0.359375,0.25,477.6800231933594
0.375,0.25,477.68011474609375
0.390625,0.25,477.67999267578125
0.40625,0.25,477.6794738769531
0.421875,0.25,477.67987060546875
0.4375,0.25,477.679931640625
0.453125,0.25,477.6792907714844
0.46875,0.25,477.6792297363281
0.484375,0.25,477.68011474609375
0.5,0.25,477.679931640625
0.515625,0.25,477.6800842285156
0.53125,0.25,477.6807556152344
0.546875,0.25,477.6804504394531
0.5625,0.25,477.6806640625
0.578125,0.25,477.68072509765625
0.59375,0.25,477.68017578125
0.609375,0.25,477.68023681640625
0.625,0.25,477.6799011230469
0.640625,0.25,477.6802062988281
0.65625,0.25,477.68133544921875
0.671875,0.25,477.6813049316406
0.6875,0.25,477.68145751953125
0.703125,0.25,477.6814880371094
0.71875,0.25,477.6809997558594
0.734375,0.25,477.68035888671875
0.75,0.25,477.6799621582031
0.765625,0.25,477.6799621582031
0.78125,0.25,477.679443359375
0.796875,0.25,477.6794128417969
0.8125,0.25,477.67962646484375
0.828125,0.25,477.67962646484375
0.84375,0.25,477.67999267578125
0.859375,0.25,477.6794738769531
0.875,0.25,477.6792297363281
0.890625,0.25,477.6790771484375
0.90625,0.25,477.6787414550781
0.921875,0.25,477.6788635253906
0.9375,0.25,477.6790466308594
0.953125,0.25,477.67974853515625
0.96875,0.25,477.6800231933594
0.984375,0.25,477.6806640625
1,0.25,477.68084716796875
1.015625,0.25,477.68115234375
1.03125,0.25,477.68170166015625
1.046875,0.25,477.68170166015625
1.0625,0.25,477.68194580078125
1.078125,0.25,477.6826171875
1.09375,0.25,477.6829528808594
1.109375,0.25,477.6829528808594
1.125,0.25,477.68353271484375
1.140625,0.25,477.68426513671875
1.15625,0.25,477.6848449707031
1.171875,0.25,477.68499755859375
1.1875,0.25,477.68536376953125
1.203125,0.25,477.6855163574219
1.21875,0.25,477.6856384277344
1.234375,0.25,477.685302734375
1.25,0.25,477.685791015625
1.265625,0.25,477.6848449707031
1.28125,0.25,477.6842956542969
