Time (seconds),Length,f0
0,0.25,478.06036376953125
0.015625,0.25,478.059326171875
0.03125,0.25,478.0597229003906
0.046875,0.25,478.0594482421875
0.0625,0.25,478.0596008300781
0.078125,0.25,478.0599060058594
0.09375,0.25,478.0599060058594
0.109375,0.25,478.0599670410156
0.125,0.25,478.05963134765625
0.140625,0.25,478.0592346191406
0.15625,0.25,478.0588684082031
0.171875,0.25,478.0590515136719
0.1875,0.25,478.05859375
0.203125,0.25,478.05902099609375
0.21875,0.25,478.0588073730469
0.234375,0.25,478.0588684082031
0.25,0.25,478.0586242675781
0.265625,0.25,478.0594787597656
0.28125,0.25,478.0589904785156
0.296875,0.25,478.05853271484375
0.3125,0.25,478.05816650390625
0.328125,0.25,478.0578308105469
0.34375,0.25,478.0577392578125
0.359375,0.25,478.05804443359375
0.375,0.25,478.05804443359375
0.390625,0.25,478.05902099609375
0.40625,0.25,478.0591735839844
0.421875,0.25,478.0589294433594
0.4375,0.25,478.058349609375
0.453125,0.25,478.0576171875
0.46875,0.25,478.05767822265625
0.484375,0.25,478.05718994140625
0.5,0.25,478.0575256347656
0.515625,0.25,478.0569763183594
0.53125,0.25,478.0572509765625
0.546875,0.25,478.05731201171875
0.5625,0.25,478.05731201171875
0.578125,0.25,478.0576171875
0.59375,0.25,478.0575866699219
0.609375,0.25,478.0577697753906
0.625,0.25,478.057861328125
0.640625,0.25,478.05706787109375
0.65625,0.25,478.05670166015625
0.671875,0.25,478.05682373046875
0.6875,0.25,478.0570068359375
0.703125,0.25,478.0574035644531
0.71875,0.25,478.05755615234375
0.734375,0.25,478.0582580566406
0.75,0.25,478.05792236328125
0.765625,0.25,478.05810546875
0.78125,0.25,478.0580139160156
0.796875,0.25,478.0582580566406
0.8125,0.25,478.05828857421875
0.828125,0.25,478.0577697753906
0.84375,0.25,478.0584411621094
0.859375,0.25,478.0585021972656
0.875,0.25,478.0584411621094
0.890625,0.25,478.0591735839844
0.90625,0.25,478.0596618652344
0.921875,0.25,478.0594177246094
0.9375,0.25,478.0601806640625
0.953125,0.25,478.0601806640625
0.96875,0.25,478.05987548828125
0.984375,0.25,478.05975341796875
1,0.25,478.0603942871094
1.015625,0.25,478.0606994628906
1.03125,0.25,478.0604248046875
1.046875,0.25,478.0605163574219
1.0625,0.25,478.060546875
1.078125,0.25,478.06048583984375
1.09375,0.25,478.0604248046875
1.109375,0.25,478.0602722167969
1.125,0.25,478.0602111816406
1.140625,0.25,478.05987548828125
1.15625,0.25,478.0600891113281
1.171875,0.25,478.0603942871094
1.1875,0.25,478.0592041015625
1.203125,0.25,478.0592956542969
1.21875,0.25,478.05926513671875
1.234375,0.25,478.0594787597656
1.25,0.25,478.05889892578125
1.265625,0.25,478.0587463378906
1.28125,0.25,478.0593566894531
1.296875,0.25,478.0596923828125
1.3125,0.25,478.0593566894531
1.328125,0.25,478.0592346191406
1.34375,0.25,478.05914306640625
1.359375,0.25,478.05853271484375
1.375,0.25,478.0590515136719
1.390625,0.25,478.05902099609375
1.40625,0.25,478.0586242675781
1.421875,0.25,478.0590515136719
1.4375,0.25,478.06011962890625
1.453125,0.25,478.0594482421875
1.46875,0.25,478.0602111816406
1.484375,0.25,478.0601806640625
1.5,0.25,478.060791015625
1.515625,0.25,478.06060791015625
1.53125,0.25,478.0604553222656
1.546875,0.25,478.06005859375
1.5625,0.25,478.0604248046875
1.578125,0.25,478.0607604980469
1.59375,0.25,478.060791015625
1.609375,0.25,478.06097412109375
1.625,0.25,478.060546875
1.640625,0.25,478.0606689453125
1.65625,0.25,478.0608215332031
1.671875,0.25,478.0601501464844
1.6875,0.25,478.059326171875
1.703125,0.25,478.0596008300781
1.71875,0.25,478.0588073730469
1.734375,0.25,478.0587158203125
1.75,0.25,478.05810546875
1.765625,0.25,478.0578308105469
1.78125,0.25,478.0575256347656
1.796875,0.25,478.056640625
1.8125,0.25,478.0570068359375
1.828125,0.25,478.05712890625
1.84375,0.25,478.05670166015625
1.859375,0.25,478.0567321777344
1.875,0.25,478.05670166015625
1.890625,0.25,478.05645751953125
1.90625,0.25,478.05657958984375
1.921875,0.25,478.05682373046875
1.9375,0.25,478.0574035644531
1.953125,0.25,478.05841064453125
1.96875,0.25,478.05902099609375
1.984375,0.25,478.05902099609375
2,0.25,478.0590515136719
2.015625,0.25,478.0596008300781
2.03125,0.25,478.0593566894531
2.046875,0.25,478.0607604980469
2.0625,0.25,478.0606384277344
2.078125,0.25,478.06011962890625
2.09375,0.25,478.0603942871094
2.109375,0.25,478.0610046386719
2.125,0.25,478.0614013671875
2.140625,0.25,478.0614929199219
2.15625,0.25,478.0614318847656
2.171875,0.25,478.0614013671875
2.1875,0.25,478.0615539550781
2.203125,0.25,478.0601501464844
2.21875,0.25,478.0599670410156
2.234375,0.25,478.0602111816406
2.25,0.25,478.0610046386719
2.265625,0.25,478.0612487792969
2.28125,0.25,478.06201171875
2.296875,0.25,478.06219482421875
2.3125,0.25,478.06170654296875
2.328125,0.25,478.0626525878906
2.34375,0.25,478.0628662109375
2.359375,0.25,478.06298828125
2.375,0.25,478.063232421875
2.390625,0.25,478.0635681152344
2.40625,0.25,478.06378173828125
2.421875,0.25,478.064453125
2.4375,0.25,478.0638427734375
2.453125,0.25,478.0645751953125
2.46875,0.25,478.06439208984375
2.484375,0.25,478.06396484375
2.5,0.25,478.06329345703125
2.515625,0.25,478.0632019042969
2.53125,0.25,478.0628356933594
2.546875,0.25,478.0625915527344
2.5625,0.25,478.06304931640625
2.578125,0.25,478.06256103515625
2.59375,0.25,478.0623779296875
2.609375,0.25,478.06201171875
2.625,0.25,478.0616149902344
2.640625,0.25,478.0613098144531
2.65625,0.25,478.0608215332031
2.671875,0.25,478.06024169921875
2.6875,0.25,478.0611877441406
2.703125,0.25,478.0613708496094
2.71875,0.25,478.06207275390625
2.734375,0.25,478.0622863769531
2.75,0.25,478.0623474121094
2.765625,0.25,478.0621643066406
2.78125,0.25,478.0616760253906
2.796875,0.25,478.0616149902344
2.8125,0.25,478.0609130859375
2.828125,0.25,478.0611267089844
2.84375,0.25,478.0614929199219
2.859375,0.25,478.0609130859375
2.875,0.25,478.0611572265625
2.890625,0.25,478.06097412109375
2.90625,0.25,478.0610656738281
2.921875,0.25,478.0611877441406
2.9375,0.25,478.0606384277344
2.953125,0.25,478.05999755859375
2.96875,0.25,478.0595703125
2.984375,0.25,478.06024169921875
3,0.25,478.0601501464844
3.015625,0.25,478.0601501464844
3.03125,0.25,478.0602722167969
3.046875,0.25,478.05999755859375
3.0625,0.25,478.0601806640625
3.078125,0.25,478.0599365234375
3.09375,0.25,478.0595703125
3.109375,0.25,478.0602722167969
3.125,0.25,478.0596618652344
3.140625,0.25,478.0598449707031
3.15625,0.25,478.0602722167969
3.171875,0.25,478.06060791015625
3.1875,0.25,478.06097412109375
3.203125,0.25,478.0613098144531
3.21875,0.25,478.0609130859375
3.234375,0.25,478.059814453125
3.25,0.25,478.0592956542969
3.265625,0.25,478.05853271484375
3.28125,0.25,478.0589904785156
3.296875,0.25,478.0591125488281
3.3125,0.25,478.0589904785156
3.328125,0.25,478.0589599609375
3.34375,0.25,478.05889892578125
3.359375,0.25,478.05889892578125
3.375,0.25,478.0593566894531
3.390625,0.25,478.0588684082031
3.40625,0.25,478.05889892578125
3.421875,0.25,478.0585632324219
3.4375,0.25,478.0587158203125
3.453125,0.25,478.0586242675781
3.46875,0.25,478.05853271484375
3.484375,0.25,478.0592346191406
3.5,0.25,478.06005859375
3.515625,0.25,478.0607604980469
3.53125,0.25,478.0609130859375
3.546875,0.25,478.06134033203125
3.5625,0.25,478.0619201660156
3.578125,0.25,478.06195068359375
3.59375,0.25,478.0620422363281
3.609375,0.25,478.0625915527344
3.625,0.25,478.0625305175781
3.640625,0.25,478.06280517578125
3.65625,0.25,478.0625305175781
3.671875,0.25,478.0625
3.6875,0.25,478.0624694824219
3.703125,0.25,478.0625915527344
3.71875,0.25,478.06298828125
3.734375,0.25,478.06317138671875
3.75,0.25,478.0635986328125
3.765625,0.25,478.06396484375
3.78125,0.25,478.0634460449219
3.796875,0.25,478.0627746582031
3.8125,0.25,478.0626220703125
3.828125,0.25,478.0626525878906
3.84375,0.25,478.06219482421875
3.859375,0.25,478.061767578125
3.875,0.25,478.0623779296875
3.890625,0.25,478.06195068359375
3.90625,0.25,478.0617980957031
3.921875,0.25,478.06182861328125
3.9375,0.25,478.06182861328125
3.953125,0.25,478.0616760253906
3.96875,0.25,478.061767578125
3.984375,0.25,478.0612487792969
4,0.25,478.060302734375
4.015625,0.25,478.0596923828125
4.03125,0.25,478.06036376953125
4.046875,0.25,478.06036376953125
4.0625,0.25,478.0603332519531
4.078125,0.25,478.060302734375
4.09375,0.25,478.0610656738281
4.109375,0.25,478.06097412109375
4.125,0.25,478.060302734375
4.140625,0.25,478.06072998046875
4.15625,0.25,478.06121826171875
4.171875,0.25,478.0604248046875
4.1875,0.25,478.0599060058594
4.203125,0.25,478.0602111816406
4.21875,0.25,478.05999755859375
4.234375,0.25,478.05999755859375
4.25,0.25,478.0601501464844
4.265625,0.25,478.0600280761719
4.28125,0.25,478.05963134765625
4.296875,0.25,478.0599365234375
4.3125,0.25,478.06005859375
4.328125,0.25,478.06005859375
4.34375,0.25,478.0596618652344
4.359375,0.25,478.0598449707031
4.375,0.25,478.0599365234375
4.390625,0.25,478.0602111816406
4.40625,0.25,478.0596923828125
4.421875,0.25,478.0602722167969
4.4375,0.25,478.0604553222656
