Time (seconds),Length,f0
0,0.25,477.84454345703125
0.015625,0.25,477.8445739746094
0.03125,0.25,477.84454345703125
0.046875,0.25,477.8441467285156
0.0625,0.25,477.84368896484375
0.078125,0.25,477.8439025878906
0.09375,0.25,477.8439636230469
0.109375,0.25,477.8441467285156
0.125,0.25,477.8441162109375
0.140625,0.25,477.8445129394531
0.15625,0.25,477.84515380859375
0.171875,0.25,477.84539794921875
0.1875,0.25,477.84527587890625
0.203125,0.25,477.84539794921875
0.21875,0.25,477.84637451171875
0.234375,0.25,477.8454284667969
0.25,0.25,477.84576416015625
0.265625,0.25,477.84613037109375
0.28125,0.25,477.846923828125
0.296875,0.25,477.84710693359375
0.3125,0.25,477.84808349609375
0.328125,0.25,477.84893798828125
0.34375,0.25,477.8486022949219
0.359375,0.25,477.84906005859375
0.375,0.25,477.84893798828125
0.390625,0.25,477.8490905761719
0.40625,0.25,477.84808349609375
0.421875,0.25,477.8475036621094
0.4375,0.25,477.8480529785156
0.453125,0.25,477.8468322753906
0.46875,0.25,477.8468933105469
0.484375,0.25,477.8478698730469
0.5,0.25,477.8476867675781
0.515625,0.25,477.8471374511719
0.53125,0.25,477.84686279296875
0.546875,0.25,477.84759521484375
0.5625,0.25,477.8473205566406
0.578125,0.25,477.845703125
0.59375,0.25,477.8458251953125
0.609375,0.25,477.84521484375
0.625,0.25,477.8450012207031
0.640625,0.25,477.84490966796875
0.65625,0.25,477.8441467285156
0.671875,0.25,477.8442687988281
0.6875,0.25,477.8432922363281
0.703125,0.25,477.8445739746094
0.71875,0.25,477.8443908691406
0.734375,0.25,477.84466552734375
0.75,0.25,477.84405517578125
0.765625,0.25,477.8443908691406
0.78125,0.25,477.8441162109375
0.796875,0.25,477.8440246582031
0.8125,0.25,477.8435974121094
0.828125,0.25,477.84564208984375
0.84375,0.25,477.84552001953125
0.859375,0.25,477.8458251953125
0.875,0.25,477.8457946777344
0.890625,0.25,477.8462829589844
0.90625,0.25,477.8476867675781
0.921875,0.25,477.8477478027344
0.9375,0.25,477.84771728515625
0.953125,0.25,477.8467712402344
0.96875,0.25,477.84686279296875
0.984375,0.25,477.8466796875
1,0.25,477.8468933105469
1.015625,0.25,477.8465881347656
1.03125,0.25,477.84674072265625
1.046875,0.25,477.8466796875
1.0625,0.25,477.8472595214844
1.078125,0.25,477.8463134765625
1.09375,0.25,477.8462219238281
1.109375,0.25,477.8469543457031
1.125,0.25,477.8468933105469
1.140625,0.25,477.8468017578125
1.15625,0.25,477.8466796875
1.171875,0.25,477.84710693359375
1.1875,0.25,477.84765625
1.203125,0.25,477.8480529785156
1.21875,0.25,477.84832763671875
1.234375,0.25,477.8482360839844
1.25,0.25,477.84857177734375
1.265625,0.25,477.8487854003906
1.28125,0.25,477.8486022949219
1.296875,0.25,477.8480529785156
1.3125,0.25,477.8477783203125
