Time (seconds),Length,f0
0,0.25,462.33349609375
0.015625,0.25,462.3292236328125
0.03125,0.25,462.32940673828125
0.046875,0.25,462.3299560546875
0.0625,0.25,462.3294677734375
0.078125,0.25,462.3287048339844
0.09375,0.25,462.32855224609375
0.109375,0.25,462.32830810546875
0.125,0.25,462.3288269042969
0.140625,0.25,462.32867431640625
0.15625,0.25,462.3292236328125
0.171875,0.25,462.3293151855469
0.1875,0.25,462.3289489746094
0.203125,0.25,462.3288269042969
0.21875,0.25,462.3291931152344
0.234375,0.25,462.3295593261719
0.25,0.25,462.3294372558594
0.265625,0.25,462.32940673828125
0.28125,0.25,462.3288269042969
0.296875,0.25,462.3283996582031
0.3125,0.25,462.32843017578125
0.328125,0.25,462.3283996582031
0.34375,0.25,462.328369140625
0.359375,0.25,462.3278503417969
0.375,0.25,462.3270263671875
0.390625,0.25,462.32659912109375
0.40625,0.25,462.32647705078125
0.421875,0.25,462.32598876953125
0.4375,0.25,462.3260498046875
0.453125,0.25,462.3253173828125
0.46875,0.25,462.3243103027344
0.484375,0.25,462.32415771484375
0.5,0.25,462.3244323730469
0.515625,0.25,462.32415771484375
0.53125,0.25,462.3245849609375
0.546875,0.25,462.3241882324219
0.5625,0.25,462.3238220214844
0.578125,0.25,462.32342529296875
0.59375,0.25,462.32269287109375
0.609375,0.25,462.3229675292969
0.625,0.25,462.32342529296875
0.640625,0.25,462.3236083984375
0.65625,0.25,462.323486328125
0.671875,0.25,462.324462890625
0.6875,0.25,462.32452392578125
0.703125,0.25,462.32537841796875
0.71875,0.25,462.3257141113281
0.734375,0.25,462.3259582519531
0.75,0.25,462.32550048828125
0.765625,0.25,462.32550048828125
0.78125,0.25,462.32489013671875
0.796875,0.25,462.3247375488281
0.8125,0.25,462.3250732421875
0.828125,0.25,462.32635498046875
0.84375,0.25,462.3272399902344
0.859375,0.25,462.32818603515625
0.875,0.25,462.3285827636719
0.890625,0.25,462.32867431640625
0.90625,0.25,462.32867431640625
0.921875,0.25,462.3277282714844
0.9375,0.25,462.32733154296875
0.953125,0.25,462.32708740234375
0.96875,0.25,462.3271789550781
0.984375,0.25,462.3268737792969
1,0.25,462.3274841308594
1.015625,0.25,462.3277282714844
1.03125,0.25,462.3284606933594
1.046875,0.25,462.32830810546875
1.0625,0.25,462.32769775390625
1.078125,0.25,462.32733154296875
1.09375,0.25,462.32666015625
1.109375,0.25,462.3261413574219
1.125,0.25,462.3255310058594
1.140625,0.25,462.3258361816406
1.15625,0.25,462.3251647949219
1.171875,0.25,462.3251037597656
1.1875,0.25,462.3253173828125
1.203125,0.25,462.32525634765625
1.21875,0.25,462.3244934082031
1.234375,0.25,462.32440185546875
1.25,0.25,462.3243408203125
1.265625,0.25,462.3240966796875
1.28125,0.25,462.3242492675781
1.296875,0.25,462.324462890625
1.3125,0.25,462.3245849609375
1.328125,0.25,462.32489013671875
1.34375,0.25,462.32476806640625
1.359375,0.25,462.3246154785156
1.375,0.25,462.32476806640625
1.390625,0.25,462.3243713378906
1.40625,0.25,462.3249206542969
1.421875,0.25,462.32537841796875
1.4375,0.25,462.32550048828125
1.453125,0.25,462.3255310058594
1.46875,0.25,462.3263854980469
1.484375,0.25,462.3263854980469
1.5,0.25,462.3258056640625
1.515625,0.25,462.32537841796875
1.53125,0.25,462.3255310058594
1.546875,0.25,462.326171875
1.5625,0.25,462.3267822265625
