Time (seconds),Length,f0
0,0.25,465.6310119628906
0.015625,0.25,465.6297912597656
0.03125,0.25,465.6304931640625
0.046875,0.25,465.6300964355469
0.0625,0.25,465.6302490234375
0.078125,0.25,465.6294860839844
0.09375,0.25,465.6294860839844
0.109375,0.25,465.63006591796875
0.125,0.25,465.63018798828125
0.140625,0.25,465.630615234375
0.15625,0.25,465.6311340332031
0.171875,0.25,465.6310119628906
0.1875,0.25,465.6311950683594
0.203125,0.25,465.63079833984375
0.21875,0.25,465.6305847167969
0.234375,0.25,465.6305847167969
0.25,0.25,465.6307067871094
0.265625,0.25,465.63067626953125
0.28125,0.25,465.6313171386719
0.296875,0.25,465.6319274902344
0.3125,0.25,465.632080078125
0.328125,0.25,465.6322937011719
0.34375,0.25,465.6324768066406
0.359375,0.25,465.6322021484375
0.375,0.25,465.6322937011719
0.390625,0.25,465.63201904296875
0.40625,0.25,465.6316223144531
0.421875,0.25,465.6317443847656
0.4375,0.25,465.6318359375
0.453125,0.25,465.6317138671875
0.46875,0.25,465.6320495605469
0.484375,0.25,465.6323547363281
0.5,0.25,465.6318359375
0.515625,0.25,465.6316223144531
0.53125,0.25,465.6308898925781
0.546875,0.25,465.6306457519531
0.5625,0.25,465.6307373046875
0.578125,0.25,465.63018798828125
0.59375,0.25,465.6297912597656
0.609375,0.25,465.6300964355469
0.625,0.25,465.630126953125
0.640625,0.25,465.62933349609375
0.65625,0.25,465.6285095214844
0.671875,0.25,465.6271667480469
0.6875,0.25,465.62701416015625
0.703125,0.25,465.6270751953125
0.71875,0.25,465.6266174316406
0.734375,0.25,465.6258239746094
0.75,0.25,465.6263732910156
0.765625,0.25,465.6263122558594
0.78125,0.25,465.6261901855469
0.796875,0.25,465.6258850097656
0.8125,0.25,465.6253967285156
0.828125,0.25,465.6261291503906
0.84375,0.25,465.6260986328125
0.859375,0.25,465.6259765625
0.875,0.25,465.62567138671875
0.890625,0.25,465.625732421875
0.90625,0.25,465.6265869140625
0.921875,0.25,465.62646484375
0.9375,0.25,465.62628173828125
0.953125,0.25,465.6256408691406
0.96875,0.25,465.6261291503906
0.984375,0.25,465.62677001953125
1,0.25,465.62646484375
1.015625,0.25,465.626953125
1.03125,0.25,465.6279602050781
1.046875,0.25,465.6283264160156
1.0625,0.25,465.6282653808594
1.078125,0.25,465.6277160644531
1.09375,0.25,465.62762451171875
1.109375,0.25,465.6270751953125
1.125,0.25,465.62664794921875
1.140625,0.25,465.62713623046875
1.15625,0.25,465.6264953613281
1.171875,0.25,465.6273193359375
1.1875,0.25,465.62744140625
1.203125,0.25,465.628173828125
1.21875,0.25,465.6278991699219
1.234375,0.25,465.6278381347656
1.25,0.25,465.62725830078125
1.265625,0.25,465.62750244140625
1.28125,0.25,465.6271057128906
1.296875,0.25,465.6268005371094
1.3125,0.25,465.62744140625
1.328125,0.25,465.6275939941406
1.34375,0.25,465.6278381347656
1.359375,0.25,465.62847900390625
1.375,0.25,465.6285400390625
1.390625,0.25,465.6280517578125
1.40625,0.25,465.6287536621094
1.421875,0.25,465.6289978027344
1.4375,0.25,465.6286315917969
1.453125,0.25,465.6285095214844
1.46875,0.25,465.6288757324219
1.484375,0.25,465.6283874511719
1.5,0.25,465.6283264160156
1.515625,0.25,465.6274719238281
1.53125,0.25,465.6267395019531
1.546875,0.25,465.62664794921875
1.5625,0.25,465.6261291503906
1.578125,0.25,465.625732421875
1.59375,0.25,465.62506103515625
1.609375,0.25,465.6251220703125
1.625,0.25,465.6252746582031
1.640625,0.25,465.62548828125
1.65625,0.25,465.62493896484375
1.671875,0.25,465.6241760253906
1.6875,0.25,465.62408447265625
1.703125,0.25,465.6232604980469
1.71875,0.25,465.62188720703125
1.734375,0.25,465.6213684082031
1.75,0.25,465.6214294433594
1.765625,0.25,465.6219177246094
1.78125,0.25,465.6216125488281
1.796875,0.25,465.6217346191406
1.8125,0.25,465.62188720703125
1.828125,0.25,465.62158203125
1.84375,0.25,465.6217041015625
1.859375,0.25,465.6209411621094
1.875,0.25,465.6206359863281
1.890625,0.25,465.62042236328125
1.90625,0.25,465.62030029296875
1.921875,0.25,465.6203308105469
1.9375,0.25,465.6203918457031
1.953125,0.25,465.6206970214844
1.96875,0.25,465.62115478515625
1.984375,0.25,465.6214294433594
2,0.25,465.6209411621094
2.015625,0.25,465.62054443359375
2.03125,0.25,465.62042236328125
2.046875,0.25,465.62017822265625
2.0625,0.25,465.61968994140625
2.078125,0.25,465.61962890625
2.09375,0.25,465.6190490722656
2.109375,0.25,465.6188049316406
2.125,0.25,465.61907958984375
2.140625,0.25,465.6193542480469
2.15625,0.25,465.6197204589844
2.171875,0.25,465.61956787109375
2.1875,0.25,465.619140625
2.203125,0.25,465.61871337890625
2.21875,0.25,465.61822509765625
2.234375,0.25,465.61834716796875
2.25,0.25,465.6183776855469
2.265625,0.25,465.618408203125
2.28125,0.25,465.61834716796875
2.296875,0.25,465.6181945800781
2.3125,0.25,465.6177978515625
2.328125,0.25,465.61785888671875
2.34375,0.25,465.61871337890625
2.359375,0.25,465.6186828613281
2.375,0.25,465.6187744140625
2.390625,0.25,465.6181945800781
2.40625,0.25,465.6173095703125
2.421875,0.25,465.61749267578125
2.4375,0.25,465.61737060546875
2.453125,0.25,465.61846923828125
2.46875,0.25,465.6182556152344
2.484375,0.25,465.6177978515625
2.5,0.25,465.6179504394531
2.515625,0.25,465.6172790527344
2.53125,0.25,465.6174011230469
2.546875,0.25,465.61761474609375
2.5625,0.25,465.6174011230469
2.578125,0.25,465.61712646484375
2.59375,0.25,465.616455078125
2.609375,0.25,465.61627197265625
2.625,0.25,465.6158752441406
2.640625,0.25,465.61627197265625
2.65625,0.25,465.6169128417969
2.671875,0.25,465.6163330078125
2.6875,0.25,465.61651611328125
2.703125,0.25,465.6157531738281
2.71875,0.25,465.615966796875
2.734375,0.25,465.61614990234375
2.75,0.25,465.6156921386719
2.765625,0.25,465.61614990234375
2.78125,0.25,465.6164855957031
2.796875,0.25,465.616455078125
2.8125,0.25,465.616943359375
2.828125,0.25,465.61712646484375
2.84375,0.25,465.61700439453125
2.859375,0.25,465.6170349121094
2.875,0.25,465.6163330078125
2.890625,0.25,465.61614990234375
2.90625,0.25,465.61572265625
2.921875,0.25,465.61614990234375
2.9375,0.25,465.615478515625
2.953125,0.25,465.6150817871094
2.96875,0.25,465.6145935058594
2.984375,0.25,465.6148986816406
3,0.25,465.6152038574219
3.015625,0.25,465.6147766113281
3.03125,0.25,465.6143798828125
3.046875,0.25,465.6139221191406
3.0625,0.25,465.6141052246094
3.078125,0.25,465.61419677734375
3.09375,0.25,465.6150817871094
3.109375,0.25,465.6151123046875
3.125,0.25,465.6159362792969
3.140625,0.25,465.6156921386719
3.15625,0.25,465.61553955078125
3.171875,0.25,465.6148681640625
3.1875,0.25,465.6155090332031
3.203125,0.25,465.615478515625
3.21875,0.25,465.6162109375
3.234375,0.25,465.61572265625
3.25,0.25,465.61541748046875
3.265625,0.25,465.6154479980469
3.28125,0.25,465.61468505859375
3.296875,0.25,465.6147766113281
3.3125,0.25,465.61407470703125
3.328125,0.25,465.6139221191406
3.34375,0.25,465.6129455566406
3.359375,0.25,465.6127014160156
3.375,0.25,465.6123046875
3.390625,0.25,465.6121520996094
3.40625,0.25,465.6124267578125
3.421875,0.25,465.6129455566406
3.4375,0.25,465.6134033203125
3.453125,0.25,465.6136779785156
3.46875,0.25,465.6134338378906
3.484375,0.25,465.6133117675781
3.5,0.25,465.61297607421875
3.515625,0.25,465.6131286621094
3.53125,0.25,465.61346435546875
3.546875,0.25,465.61328125
3.5625,0.25,465.61358642578125
3.578125,0.25,465.6136474609375
3.59375,0.25,465.61346435546875
3.609375,0.25,465.61309814453125
3.625,0.25,465.6133728027344
3.640625,0.25,465.61279296875
3.65625,0.25,465.6123046875
3.671875,0.25,465.6122741699219
3.6875,0.25,465.6112060546875
3.703125,0.25,465.61065673828125
3.71875,0.25,465.61053466796875
3.734375,0.25,465.61041259765625
3.75,0.25,465.6109619140625
3.765625,0.25,465.6108703613281
3.78125,0.25,465.6110534667969
3.796875,0.25,465.611083984375
3.8125,0.25,465.6107177734375
3.828125,0.25,465.6101379394531
3.84375,0.25,465.6102294921875
3.859375,0.25,465.6105651855469
3.875,0.25,465.6101379394531
3.890625,0.25,465.6103210449219
3.90625,0.25,465.6101989746094
3.921875,0.25,465.6101379394531
3.9375,0.25,465.6099548339844
3.953125,0.25,465.6105651855469
3.96875,0.25,465.61041259765625
3.984375,0.25,465.6106872558594
4,0.25,465.6104431152344
4.015625,0.25,465.6103210449219
4.03125,0.25,465.610107421875
4.046875,0.25,465.6100158691406
4.0625,0.25,465.6102294921875
4.078125,0.25,465.6107482910156
4.09375,0.25,465.610595703125
4.109375,0.25,465.61077880859375
4.125,0.25,465.61053466796875
4.140625,0.25,465.611328125
4.15625,0.25,465.6121826171875
4.171875,0.25,465.6116943359375
4.1875,0.25,465.61224365234375
4.203125,0.25,465.6119079589844
4.21875,0.25,465.6119079589844
4.234375,0.25,465.612060546875
4.25,0.25,465.6112976074219
4.265625,0.25,465.6109619140625
4.28125,0.25,465.6104736328125
4.296875,0.25,465.61029052734375
4.3125,0.25,465.61029052734375
4.328125,0.25,465.6095275878906
4.34375,0.25,465.60968017578125
4.359375,0.25,465.60894775390625
4.375,0.25,465.60919189453125
4.390625,0.25,465.6084289550781
4.40625,0.25,465.60760498046875
4.421875,0.25,465.6077880859375
4.4375,0.25,465.6078796386719
4.453125,0.25,465.60699462890625
4.46875,0.25,465.6070556640625
4.484375,0.25,465.60687255859375
4.5,0.25,465.6079406738281
4.515625,0.25,465.6083984375
4.53125,0.25,465.60906982421875
4.546875,0.25,465.6086730957031
4.5625,0.25,465.6092529296875
4.578125,0.25,465.6092529296875
4.59375,0.25,465.6089782714844
4.609375,0.25,465.6092834472656
4.625,0.25,465.60919189453125
4.640625,0.25,465.6090087890625
4.65625,0.25,465.60870361328125
4.671875,0.25,465.6080627441406
4.6875,0.25,465.6070556640625
4.703125,0.25,465.60772705078125
4.71875,0.25,465.6074523925781
4.734375,0.25,465.6073913574219
4.75,0.25,465.6070556640625
4.765625,0.25,465.60638427734375
4.78125,0.25,465.60565185546875
4.796875,0.25,465.60589599609375
4.8125,0.25,465.6044006347656
4.828125,0.25,465.6039123535156
4.84375,0.25,465.603271484375
4.859375,0.25,465.6033020019531
4.875,0.25,465.6033020019531
4.890625,0.25,465.60284423828125
4.90625,0.25,465.60247802734375
4.921875,0.25,465.6033630371094
4.9375,0.25,465.6033020019531
4.953125,0.25,465.6036376953125
4.96875,0.25,465.6033630371094
4.984375,0.25,465.6030578613281
5,0.25,465.603271484375
5.015625,0.25,465.603759765625
5.03125,0.25,465.6033020019531
5.046875,0.25,465.6030578613281
