Time (seconds),Length,f0
0,0.25,461.7516174316406
0.015625,0.25,461.7496032714844
0.03125,0.25,461.7486572265625
0.046875,0.25,461.7485046386719
0.0625,0.25,461.7481994628906
0.078125,0.25,461.7488098144531
0.09375,0.25,461.7490234375
0.109375,0.25,461.7486267089844
0.125,0.25,461.74810791015625
0.140625,0.25,461.7481689453125
0.15625,0.25,461.7477722167969
0.171875,0.25,461.7482604980469
0.1875,0.25,461.7478332519531
0.203125,0.25,461.74737548828125
0.21875,0.25,461.7474060058594
0.234375,0.25,461.7474060058594
0.25,0.25,461.7472229003906
0.265625,0.25,461.74688720703125
0.28125,0.25,461.747802734375
0.296875,0.25,461.748291015625
0.3125,0.25,461.7488098144531
0.328125,0.25,461.7489929199219
0.34375,0.25,461.74853515625
0.359375,0.25,461.7486267089844
0.375,0.25,461.7481384277344
0.390625,0.25,461.7478942871094
0.40625,0.25,461.7483825683594
0.421875,0.25,461.7485656738281
0.4375,0.25,461.74932861328125
0.453125,0.25,461.7500915527344
0.46875,0.25,461.7491455078125
0.484375,0.25,461.7484130859375
0.5,0.25,461.7482604980469
0.515625,0.25,461.7482604980469
0.53125,0.25,461.7484436035156
0.546875,0.25,461.748046875
0.5625,0.25,461.7475891113281
0.578125,0.25,461.74755859375
0.59375,0.25,461.7486572265625
0.609375,0.25,461.748779296875
0.625,0.25,461.74920654296875
0.640625,0.25,461.7491455078125
0.65625,0.25,461.7492980957031
0.671875,0.25,461.7494201660156
0.6875,0.25,461.748046875
0.703125,0.25,461.7472229003906
0.71875,0.25,461.7481689453125
0.734375,0.25,461.74945068359375
0.75,0.25,461.7493591308594
0.765625,0.25,461.7492980957031
0.78125,0.25,461.7490539550781
0.796875,0.25,461.7493591308594
0.8125,0.25,461.74853515625
0.828125,0.25,461.747314453125
0.84375,0.25,461.745849609375
0.859375,0.25,461.7452392578125
0.875,0.25,461.74420166015625
0.890625,0.25,461.7442321777344
0.90625,0.25,461.7430419921875
0.921875,0.25,461.74273681640625
0.9375,0.25,461.74334716796875
0.953125,0.25,461.7440185546875
0.96875,0.25,461.7435607910156
0.984375,0.25,461.74261474609375
1,0.25,461.74273681640625
1.015625,0.25,461.7417907714844
1.03125,0.25,461.741943359375
1.046875,0.25,461.7414855957031
1.0625,0.25,461.74200439453125
1.078125,0.25,461.7428894042969
1.09375,0.25,461.7434387207031
1.109375,0.25,461.7432861328125
1.125,0.25,461.74462890625
1.140625,0.25,461.7440490722656
1.15625,0.25,461.7442932128906
1.171875,0.25,461.74407958984375
1.1875,0.25,461.74359130859375
1.203125,0.25,461.7430725097656
1.21875,0.25,461.742919921875
1.234375,0.25,461.7428283691406
1.25,0.25,461.74200439453125
1.265625,0.25,461.7429504394531
1.28125,0.25,461.7425231933594
1.296875,0.25,461.7425537109375
1.3125,0.25,461.7434387207031
1.328125,0.25,461.74298095703125
1.34375,0.25,461.74267578125
1.359375,0.25,461.7432861328125
1.375,0.25,461.7431640625
1.390625,0.25,461.7444152832031
1.40625,0.25,461.7448425292969
1.421875,0.25,461.7452087402344
1.4375,0.25,461.74566650390625
1.453125,0.25,461.7459411621094
1.46875,0.25,461.74658203125
1.484375,0.25,461.7464599609375
1.5,0.25,461.74664306640625
1.515625,0.25,461.7461853027344
1.53125,0.25,461.7462463378906
1.546875,0.25,461.7463684082031
1.5625,0.25,461.745361328125
1.578125,0.25,461.74554443359375
1.59375,0.25,461.7455749511719
1.609375,0.25,461.74603271484375
1.625,0.25,461.7463073730469
1.640625,0.25,461.745849609375
1.65625,0.25,461.7460632324219
1.671875,0.25,461.7452392578125
1.6875,0.25,461.7456970214844
1.703125,0.25,461.7463684082031
1.71875,0.25,461.74591064453125
1.734375,0.25,461.7467041015625
1.75,0.25,461.7468566894531
1.765625,0.25,461.7473449707031
1.78125,0.25,461.7468566894531
1.796875,0.25,461.7469177246094
1.8125,0.25,461.7468566894531
1.828125,0.25,461.7471618652344
1.84375,0.25,461.74755859375
1.859375,0.25,461.7471923828125
1.875,0.25,461.74700927734375
1.890625,0.25,461.7469177246094
1.90625,0.25,461.7467346191406
1.921875,0.25,461.74713134765625
1.9375,0.25,461.7464904785156
1.953125,0.25,461.745361328125
1.96875,0.25,461.74554443359375
1.984375,0.25,461.7449035644531
2,0.25,461.7452087402344
2.015625,0.25,461.74444580078125
2.03125,0.25,461.74493408203125
2.046875,0.25,461.7445068359375
